Question,Option0,Option1,Option2,Option3,Option4,Option5
"媽給你送錢包來啦 來 你看一下是不是這個
對 就是這個 你在哪裡找到它的
",你看 這是我新買的錢包,我的錢包不見了啦,以後上網咖的錢包在我身上,什麼有錢包場,早上你爸爸在車上找到的 一定是前天你放學的時候掉在車上了,我為什麼要給你們錢包
"古人說三日不讀書 面目可憎 我覺得我最近可能臉色太難看了
",所以想回復我昔日面貌姣好的樣子,是不是要定期來舉辦,各辦理一次才對,能夠督促所有的用人機關,在上次的節目討論中也有提到,超過九十分貝以上
"你說我們做父母的最擔心的就是這個
",我剛剛聽你媽說你要讀什麼科,其他老師又集體叛變,聽起來好好玩天啊,只是小孩自己的興趣不能得到發展 他們的心裡可能也會很悶喔,走到這裡就沒有路了耶,每一個科目像是國語數學都很優秀
"是不是因為以前你的書包太重了 所以你想要發明這個
",這個應該也是其中之一的原因,好神奇喔,它怎麼突然會這樣,那我去探索一下,牠會不會覺得很不開心 會生氣,我覺得很高興
"那可不見得 有錢能使鬼推磨
",好 這個就是我們今天比較級的用法,真的嗎 什麼禮物,有餅乾吃我也要吃,我知道隔壁班今天也有地理課 我陪你去借,什麼你說我是鬼,我表姊從國外帶回來的 送你一個
"真的嗎
當然是真的囉 如果你不相信的話 可以問姜老師啊
",老師常常看了都很感動,你不要太在意同學們怎麼想,老師先給你們一個功課,就是因為這樣 你們才要更包容他更鼓勵他,是啊 這點老師也可以證明喔,沒有人是十全十美的
"你今天是要介紹哪一位人物 讓我們認識呢
是和戲劇有關喔 特別是默劇
",我們不是當事人，不太方便回答相關問題,兩人得到了法國航空提供的巴黎來回機票,這個人我已經知道是誰啦 就是耿一偉老師嘛,墨西哥是自古以來就吃昆蟲的國家,兩人相繼離世 親朋好友皆非常感傷,善用資源聰明借款 早日實現買屋夢想
"輝哥 全部都被你吃了 你很過分
就兩顆 你還剩下這樣子 那我吃什麼
沒有 因為你們一直在問問題 我閒著無聊
",然後煮一煮就變成紅色的嗎,我就把它吃完了,現在要把那個木頭給粉碎掉,因為聽說以前是用燒的,會造成空氣污染,像他們現在這樣粉碎掉
"大嬸啊 我不是說過了嗎 我們村子都是善男信女 老弱婦孺 怎麼會是練功的料呢
",看來大家對男生女生應該有什麼樣子 還是有很刻板的印象喔,我們讀不讀書關你屁事啊 你管那麼多幹嘛,錯了 我們的武功是要教大家 以小博大 以柔克剛 男女老幼都可以學習的,所以做母親的 我們覺得非常了不起非常偉大,這次你就假裝沒看到,好 就交給你們
"你只要拿得到滅火器 就代表你的逃生動線是安全的 你就算火滅不掉
",防災達人接下來要突擊的,是位在桃園八德市的一家雜貨店,之前台語歌曲天后張秀卿,曾跟店主人共進晚餐,你還是可以跑出去,終於以超人的毅力
"你不知道那些狗仔 什麼時候又跑去 挖你那間舊房子的新聞
",這樣的工作不一定就是相對弱勢喔,不了解他人的利他 反而會造成更大的傷害,指考成績出爐,好啦 沒關係 心情放輕鬆一點,如果有工作後的學長姐分享會更棒,謝謝一如既往收看影片
"那你覺得應該收多少錢才好
大家同學嘛 也不能太貴 一次二十怎麼樣 薄利多銷
",也該畫上句點了,人有時會因為另外一個人 而改變,上次我不是跟你說 這個秘密基地漏水的事情嗎,你喔身在福中不知福,我們就可以測試它的溫度,還真的很不錯耶
"你最拿手的是什麼菜
",這你選的耶,可愛的小學生,電風扇,中獎就好了,炒高麗菜,找你三百九十一
"奕瑄 我知道你很生氣 但你先看看卡片裡面寫些什麼內容 好嗎
奕瑄 芷穎都這樣子了 你就原諒他嘛
",對啊 芷穎都知道錯了 你就原諒他吧,八戒 為師不是告誡過你 不是屬於自己的東西 不能隨便佔為己有嗎,你們真的是很愛吃,我有帶溼紙巾,我們要稍微ㄍㄧㄥ一下,我爸因為工作的關係 常常都不會在家
"其實你可以試著 把你最近感覺到的 還有想到的 把它寫下來
",可是在詩人的眼裡 下雨也有另外一番風情,真倒楣 差一點點就趕上了,你家不是很近嗎 有沒有興趣用走的,好吧 我試試,我實在是不知道女生這樣 會哭得這麼厲害,你還要當著全班的面朗讀 她當然會覺得很難堪
"我們集訓兩個月之後 然後僥倖得到冠軍
什麼僥倖得到冠軍
",是大家一起同意的,真的僥倖啦,初生之犢不畏虎,你們覺得環境有逐漸變好嗎,便宜很多,為什麼沒有放大家的合照
"上面怎麼有刮痕
哪有 本來就這樣啊
",明明就有 你自己看,用過的東西不可能跟新的一樣,可以啊 賠多少,你很奇怪耶 有事不直接說出來,要是有什麼事情 我幫你出面解決嘛,你要我講什麼 我就是不開心
"請你當我女朋友
我 我覺得跟你在一起很開心 但是 我們還是繼續當好同學就好了
",那跟我們的流言又有什麼關係呢,反正流言已經破解了,我現在這顆頭 是不是在這空中漂浮啊,我們其實是延伸了 畫家的一個想法,我真不懂 為什麼 詠真一下跟我說在一起很開心 一下又說當好同學就好,在網路上面散播不實流言
"說台灣每年大概有四千人 因為自殺而身亡呢 光聽我就起雞皮疙瘩了耶
",四千條生命就這麼因為想不開而沒了喔,動不動就為了一點小事要自殺,我怕他真的想不開,昨天晚上我一位朋友失戀在鬧自殺耶,像我最近就認識一位很勇敢的小女生,她還是努力的活下去
"奕瑄 你怎麼了
媽 你可不可以叫爸不要再來學校接我啦
可是你以前不是都吵著要爸爸去學校接你嗎
",那是以前 現在我不喜歡,因為我要接送小孩,直接送到需要幫助的人身上,它的電直接送到輪胎那邊的馬達,直接送訓導處去處理就好啦,直接送警察局
"你不要生氣嘛 媽媽只是替你 跟謝秀菁把事情說清楚而已
",不過我真的沒有惡意喔 我不是來興師問罪的,同學被欺負 你還幸災樂禍,你不要管我了 我已經不是三歲小孩了,改天你倒楣 我就在旁邊給你拍拍手,你來學校幹嘛,吃晚餐的時候 一碗飯吃了半個小時
"你現在在選什麼魚
",這樣工程感覺很浩大,我的專長是平面設計,我在選狗母魚,用來記事的便利貼,不是以電腦繪圖做成的,只有半個小時的時間
"我工作服穿好了以後 要開始怎麼做呢
開始我們今天要做的是對稱
什麼叫對稱
",一個盤子然後你什麼都要一樣,別的國小好像都沒有,他們都會很興奮,要開始怎麼做呢,讓他們對學校更有 自己的感情在,我看我來不及回家了
"那不是鹽啦
原來是這樣喔
來 我再跟你解釋一下
",因為在古時候沒有冰箱對不對 所以吃的東西如果想要保存久一點,就是那個曬鹽的地方喔,嘉義是嘉義的意思嗎,回味一下他那個年代搭火車的情況,那它的生日是什麼時候,可以看到蒸汽火車行駛冒煙的樣子
"對不起
不好意思
我剛才叫你番茄
",一定是有進步啦,這個經驗非常有趣,這孩子應該是有天分,其實我也說錯了,看起來好像學生的年紀,我媽非常無法忍受
"我們現在就要每五分鐘做一次記錄 看看哪一鍋的蝦子最先死翹翹
",會讓蝦活得比較久,對 然後這樣就能知道牠們到底在尿液能不能夠存活比較久,那有什麼特別的啊,王芃她表現得真好,但是今天老師不上課,好腥喔我這個味道好奇怪
"那如果我考不上難道你也要配合嗎
這是什麼話 我對你有信心
",受到學生們的熱情感染,我們都已經實驗完畢了,我們現在來到這邊呢,除了要注意魚的顏色之外,你都對自己沒信心了,再欣賞這個霧濛濛的湖景
"我先生那時候常常喝酒
",總算是走過來了,實在令人欽佩,說是因為工作壓力太大,我也很欽佩素珍媽媽,相處十幾年,我常勸他不要喝了
"因為我二十歲就結婚了
",單親媽媽的呢,走出心裡面陰影的一面,所以我要去學工作,那在這段走出來的階段,結婚以後生了兩個孩子,有職訓局有很多個職訓
"你的水是要倒掉的嗎
對啊
",我是去跟你的同學道歉,這飲料真好喝,我正好要去辦公室找你呢,我幫你吧,她正在嘗試改變她自己,也許媽媽太過於呵護你
"你看這天你根本沒有寫說要帶英文作業嘛 還說有寫
",對不起我不是故意的,兩個音節的形容詞 前面就不需要加MORE,我給她兩本記事簿啊 很貴又很漂亮呢 是她自己答應要幫我記的,以後沒有交作業只要這樣 應一聲就可以打混過去了,這份禮物是跟老師賠罪的,可是既然你覺得我做得不好 那我就不要做了
"依你的經驗來看蝦子是不是比較適合活在海水裡
",是不是真的能夠活更久,但是每當有外地人嫌我們這裡不好的時候,是啊 牠本來就在海洋裡面所以牠應該在海水裡面是最健康的,我也會盡力的幫助他們,同學們準備好作答了沒有,可以請阿輝幫忙啊
"來 媽剛打好的新鮮果菜汁 休息一下嘛 一直盯著課本 會傷眼睛的喔
好啦 放在桌子上 我等一下就喝
",希望她大人大量 不要放在心上,誰知道事情的經過是那樣,還真讓人傷腦筋呢,這種不良的記錄 是沒有辦法被抹掉的,我實在很心疼,趕快趁鮮喝 要不然維他命C就流失啦
"洪老師 您好 是不是只有澎湖的赤崁才有丁香魚 別的地方沒有
",真好吃耶,在國小的這個階段 我們是注重到學生最基礎的語言素養,它曬得很乾 所以身體表面這條銀白色的縱帶 它就會暗暗的 灰灰的,這一艘就是丁香魚的捕魚船,其實這個丁香魚 台灣沿海四周都有產,觀眾朋友您的傳真 是對我們最大的鼓勵跟支持
"老師為什麼他們都有我沒有
",熱心助人是沒錯,全家搬到美國去,親善大使是要代表學校出去的耶,她總是笑容滿面,因為老師覺得他們寫得很認真很精彩啊,潘依宸跟同學他們相處的情形
"剛剛珠珠說你是依君的祕書
",什麼你說我是鬼,我知道隔壁班今天也有地理課 我陪你去借,我表姊從國外帶回來的 送你一個,可是我在乎的不是她的禮物 而是她的心意啊,那位大小姐幹嘛給你巧克力,我要去廁所 你幫我把音樂課本拿回教室喔
"如果哪一個轉身他沒有轉過去了 他就是會走到今天了
是 而在老師的戲裡面 我覺得你是在關心這些人 他們看到了這些片段的時候
",我們都說這小孩子 就是小時候不學好啦,你說扒手集團收留 因為他們實在無路可去了,請老師請繼續努力,因為他們實在無路可去了,是 這個是我覺得很棒的一件事,其實它裡面有一個轉折很
"總教練耶 看起來好年輕喔 我一直以為練太極拳的 都是那種白髮蒼蒼的老公公耶
",這個年紀的孩子狀況總是比較多一點,對啊 被你們發現了,你這麼 年紀這麼大 你還跟你兒子出去展覽幹嘛,這個年紀就懂得正視難題,其實練太極拳 不管他的年齡 高矮胖瘦 都是可以習練的,小小年紀就要承受生離死別的折磨
"想法奇特的他 會想邀請的來賓是誰呢
",可能很難想像,張秀卿 她的歌真的很好聽,這是一個很蠢的問題,他這很可愛,我要去做我要做的東西,該冷靜的時候要冷靜
"而且福馬林聽說有一種很奇怪的味道 我剛剛也有聞到 你幫我聞聞看 怎麼樣
感覺有一種化學刺激味 聞起來讓人很不舒服
",還賴在這裡做什麼,不舒服的感覺嗎,這個不是基本常識嗎,主要目的呢就是說,不用麻煩了蕭先生,吊白塊和一氧化碳
"你們怎麼會在這裡
",那我現在帶你過去看縱切面,真的存在耶,扁柏就是因為太優秀了,是你自己跳到我們旁邊來的,而是一整片千年神木呢,因為它生長速度比較快
"你怎麼可能會聽古典音樂
拜託 我也是很有氣質的
",回去再打電話問問看她好了,我還是會繼續努力,總要持之以恆慢慢來嘛,萬丈高樓平地起,你這樣子很難讓我相信你有氣質,但我也不會氣餒的
"我發現你們這邊有兩棵這麼大棵的鐵樹啊
這個應該也是歷史悠久了
從什麼時候開始啊
",我覺得不能講楷模啦,去享受採果的樂趣,會想請誰來吃晚餐呢,留下來的藏寶圖,這樣反而對身體不好喔,照我的估計 它大概有一百三十歲左右
"你們現在要做什麼
",我們現在把網子給拉開來,發亮耶超可愛的,只放了三十五秒,它有很有趣的名字,風吹到台北盆地這邊,好像鹽水蜂炮那樣
"要是有什麼事情 我幫你出面解決嘛
你還要管我嗎 你已經幫倒忙了
你不要這麼說嘛 媽媽又不是一個沒有腦袋的人
",可是孩子們比較難體會做家長的心情嘛,她做事慢吞吞的 跟她一組會受影響啦,合群一點好不好,你的腦袋就是跟別人想的不一樣,上面怎麼有刮痕,一碗飯吃了半個小時
"家隆 你怎麼會在這個地方
因為這棟房子很可愛 引發了我的好奇心 所以就進來參觀了
是露營車的主人請你進來的嗎
",有人說露營車是成年人的大玩具 因為開這種車出門很好玩的,對 這裡是餐廳,坐在這個地方 不但可以吃飯聊天 晚上還可以當成床舖睡覺,真不賴 想吃東西馬上就可以煮了,這部露營車好拉風 不如我們進去參觀參觀吧,沒錯 因為我就一直好奇的張望 於是露營車的主人就請我進來參觀了
"阿公 要離開台灣了
",但在這群人手上 鏟子只有一種用法,先祝國內外的大家飛黃騰達了,實事求是是外科醫師的特色,你也可以直接購買最新貼圖唷,我覺得很怪 有一個人不在我旁邊,這麼厲害的經營模式 只能幫分享了
"我媽說這個老年人 老人家最經不起這樣摔的啦 很危險啊
你現在在說什麼
",不知道耶,這是因為蠶絲被它是一種天然的,你說誰是老年人,動物性的蛋白纖維,苗栗的蠶絲被,豆油伯
"大家幫你送行 你自己跑來在這裡
我都快被安安煩死
",你別無聊了好不好,你試試看,她這麼黏你你是劉德華呀,如果四毛醒不過來 他就是植物人,你自己怎麼不試呀,你今天吃錯藥
"希望我哪天可以跟她一樣 說英文都不會緊張
英文是說得很好啦
",在此我們要特別呼籲年輕朋友,廣告過後,我替你選一首輕快的歌曲,包準你聽了會開心很多的,廣告前接聽了千千的電話,但她好像太驕傲了
"你在幹嘛 怎麼突然停下來了
沒有啦 剛好放空
",候補也可以出頭天,受傷了就要去看醫生接受治療,後果可能會更嚴重,傷到哪裡了,你還有時間放空,你在那兩分鐘的獨奏表演
"這個牛山保護區這邊 海岸線又特別的長 沙跟鵝卵石特別的多 所以這種換膚的情況
",他必須要用竹竿撐竿跳,這個叫什麼呢,根據我小兵的判斷,就特別的明顯,還有沒有什麼漂亮的地方,沙灘就是沙灘
"我是劉亮宏 我對化學中的奈米科技 很感興趣
",年紀一大把了,你現在正在發育的年紀,我們兩個年紀一樣,你這種年紀就應該把心思放在讀書上,我女兒現在年紀還小,我是蕭年艾 科學對我來說是一個 可以滿足我好奇心的領域
"鍾沅
幹嘛
",我知道,我有話要跟你講,醫院回來以後有好一點了,不錯呀 訂單越來越多,一個三十幾歲的女人沒有多少時間 好好的去愛一個人了,小心一點
"新年快到了 曉書 你過年有沒有什麼計劃呢
",聽你這麼說 好像很不錯,我打算回高雄的老家 全家團圓吃年夜飯,你是名副其實的好老公,真是讓我大開眼界,我有點心動了,今兒個我們就要帶大夥 一起去一探究竟吧
"借我你的百發百中重點筆記好不好
不好
",我們看到這個海面,拜託啦 你如果借我的話 下次要我做什麼事情我都可以幫你,類似的一個酒的一個副產品,如果你每次都拿到滿分的話,是要讓火車進來還是出去,泡在百分之五十尿液裡的蝦子
"賢賢走 我們去放
好啊等一下
",所以很多人就稱它為冬瓜山啦,而且也不怕它撞壞啊,我們禮拜天要辦成果發表會,沒有一個人把我的話說對的啦,豆油伯星期天你一定要來捧場,輝哥還要等什麼啊
"這種廣告 能把房子賣出去才有鬼 哪個白癡 哪個腦殘想的 該不會是你吧 啊
報告賀總 我最近太忙了 只好請新人幫忙 所以真正想廣告詞的是 她
",上半期啊 大家表現得都不錯,妳要多鑽研啊 想冒泡就要多花一點工夫囉,各位看這個照片 多麼有精神, 這三個字 也是我們賀氏房屋的精神指標,妳待會就知道了啦,喔 是妳呀 難怪 難怪這麼菜
"等一下我就回去接你跟你媽媽 今天我們全家一起去吃大餐
",搞不好我哪天朗讀比賽 可以得第一名也說不定,故天將降大任於是人也,明天你要去比賽,中秋晚會跟聖人有什麼關係,一個活動怎麼有這麼多的問題,好 謝謝爸爸
"那 你會說台語嗎
",也許這是一種時髦的關係,先把衣服換下來,我會騎馬,所以我一大早 就離開了客棧,我會啊,炸得四分五裂對不對
"好快喔 一個月又過去了
是啊
所以我們要好好的把握時間啊 對啊
",就可以通知你們來救我了,不然又多一歲囉,後來你怎麼擺脫那台計程車的啊,趁紅燈的時候就跳下去啦,所以說只要人聰明,沒有手機也可以呀
"你說的這位視障豎笛高手 是哪位啊
",我才不要聽呢,你看那裡好乾淨,這位豎笛高手的名字叫做胡清祥,這怎麼可能發生呢,這實在是太難以置信了,我家住在台北市
"老師 你先回去好了 我一個人可以照顧爸爸的
",只可惜你媽不得已 留下了我們先離而去,多加休養應該就可以了,子寧 你又長大一歲了,還記得你小時候過生日 最喜歡的就是媽媽親手給你做的蛋糕,子寧 我還是留下來再陪你一會兒好了,你還在蘑菇什麼
"是什麼因素 會讓你接觸到藝術方面呢 為什麼
",其實是有一些巧合啦 那當然我小時候很喜歡戲劇,全部都把它寫在網誌上 看看讀者有什麼反應,要做低風險 低報酬的加盟型創業,吃辣可以增進食慾促進消化 驅寒,穩固的治國體制卻從未能建立起來,故事主要發生在一個虛幻的大陸
"要不要吃飯 我幫你買
",那個都是假的,什麼什麼沒做,這樣要怎麼辦,人家不是不讓你處理,我真的受不了他,不要
"老師 要不要再重新考慮一下
有什麼不好的 人家姵蓁很可愛 做事又負責
對啊 人家老師才不像你們男生 只會看外表 一點都不成熟
",俗話說 歹竹出好筍 強調的是後天養成的重要性,悲傷放在過去 重新邁向新的生活,你們明天要去衝浪嗎,你的臉流汗之後 也會這麼狼狽不堪嗎,好啊 那你說 你們有祐禎的漂亮和溫柔嗎,等一下就要下雨了
"幫助珮綺在班上同學面前建立自信心 這樣才是將功贖罪啊
",你願不願意回到班上,那到我家吧,每一個要準備五分鐘,你準備得怎麼樣啦,我一定會想個好辦法的,她很活潑很開朗
"不過這個本氏液是幹嘛用的
你不知道喔 來 小中解釋給他聽
",我們分別把這三支試管 放到這個燒杯裡面隔水加熱,你現在就左手拿這一杯水 右手拿這個藥,黃大哥 對不起 有眼不識泰山,那我就來試試看 它到底有多神秘,沒問題 看我的秘密檔案 本氏液它是藍色的液體,如果車子有問題 我就牽到路邊修理
"他的名字好像叫做陳明偉 對不對
",一起來欣賞陳明偉的表演囉,沒錯 就是他,手語有兩個比法喔,每天在學校上完課之後 回到家都要寫作業,手指數一二三四五六七八 就是數學,英文是許多聽障朋友心中的痛
"打了三十六圈的牌 一天一夜都沒闔眼了
不錯嘛 你還記得我們的門牌號碼喔 我以為你迷了路 找不到家了
你煩不煩啊 一進門就唸 我看你是睡飽了
",你是好爸爸 你是一家之主,要不是為了等你 我早上就把作業送出去了,梁碧珊又不是超人 回家換衣服的速度不可能那麼快吧,你還好意思對我大聲啊 你看看現在幾點鐘了,你講話可不要這麼難聽喔 我打牌多少也是為了補貼家用,還跟我大小聲 你嚇唬誰呀你
"你們兩個會不會太誇張了一點 隨時隨地都看到你們黏在一起
我跟珺嵐這麼有默契 借到的東西也一模一樣
這樣會被誤會 誰跟你有默契
",是舒琪 千晏她們有默契,希望他可以為大家測量出,或做標本用的防腐劑,昨天開始的這趟旅程當中,劍道越來越退步啊,牠們到底在尿液能不能夠存活比較久呢
"蘿拉跟幼華 進行語言交換活動三年多了 每次碰面 幼華都很認真準備資料
",吃喝等死的日子,到底是怎麼回事呢,接著牛爾問起兩個孩子,聽到一些不愉快的片段,讓老牛看到了一些幸福,還會想些有趣的活動
"好 裝好了綁腿之後呢 我們還要上這個汗墊
汗墊 汗墊是幹嘛的
",汗墊就是防止它在馬背上的時候 會因為汗而這樣滑來滑去,那個看起來更刺激,但是這種東西 還是需要長時間練習才對嘛,如果耳朵亂動的話 就是代表牠不專心,你住在閣樓上,那你要不要示範一次給我看
"我們有問題要問你
可是老師現在有事情耶
",謝謝,老師老師,你換不換,我們下次再問好了,好嘛好嘛,你不要那麼兇嘛
"你曾聽說過你們這裡 有一種怪水嗎
",怪水什麼怪水,以前一直說這是毒龍潭,冷冷的泉就是冷泉啊,你如果不相信 我等一下使兩套功夫給你看,對啊要打的時候 趕快跳過圍牆 就打不到了啊,老師這個汽水喝一輩子也喝不完耶
"那你有什麼新發現嗎
我發現 其實芳儀不是那麼的嬌弱 以後我不能再把她當溫室的花朵了
",芳儀她的個性是有柔弱一點 但是沒什麼大問題,媽媽有跟老師說 她正在嘗試改變她自己,今天陳媽媽來 是特地想要來跟大家說對不起的,每個人負責的工作 我貼在黑板上 大家自己來看,是啊 孩子的成長是很快速的 適時的放手讓她獨立吧,雖然在家裡面 是個霸道的小公主
"曉書 你在做什麼啦你 你幹嘛那麼緊張呢
",這輛重車該不會是你的吧,很高興認識你 我是從白俄羅斯來的,這麼精采的故事 怎麼可能會錯過呢,我只是在跟重車拍張照,你就坐那裡就可以了,有很多同學會跟我聊天啊
"今天要介紹一位藝術家朋友 她可是鼎鼎有名 獲獎無數的足畫家喔
原來如此啊
",設計跟施工規範這個部分,就是像超商那個部分,再把它擴大,像最近有人在談超商,待會兒就可以欣賞到許多國畫作品,是不是也要把它納進來規範
"家裡的生意正在忙需要你 不要一直想要跑到外面去玩好不好
",不過還是有一些痕跡的,我不是要出去玩 我是要去學更多的東西,同學們你相信嗎,第一次踏上綠島這塊土地,那哈瑪星這個地方,小中還在認真的走
"怎麼才幾天不見 你的眼睛就變成熊貓眼了
",你這幾天去哪了,美白面膜讓你閃閃動人,好看嗎,還不是為了要看聽奧啊,熊貓跟貓熊一樣嗎,幾天是幾天
"媽 我的手好痛 我不能彈琴了啦
怎麼會這樣子呢
",是我太自私了,發生什麼事了,其實老師也有疏忽,明天還要上課,就讓少瑄先來伴奏吧,要幫我姐姐演奏的婚禮歌曲
"他活該倒楣手錶壞了 你幹嘛幫他修
可是如果我沒追他的話 他的錶應該就不會掉吧
",可惜客人太多了,食物通通免費,那是他活該,我覺得時間不夠多了,避免教室孳生蚊蟲,不要沉迷於遊戲了
"黃媽媽那是你種的圓葉椒草嗎
你也懂得圓葉椒草 一般人只懂得它是盆栽
",埔里的公路兩旁有很多在賣甘蔗的,點燃了哈瑪星璀璨的歲月,當然囉 因為我們家也有種 而且我也蠻喜歡植物的,這個一切下去的話,同學們知道福馬林是什麼嗎,我阿公阿嬤從台南來的
"不過現在海上風平浪靜的 好舒服喔
",輕輕一碰就會爆開,沾到這個鬼針草的果實耶,是啊 沒什麼浪對不對,這小小的挺可愛的,讓我散播歡樂散播愛,幾乎是每天的中午左右 就會開始一直起霧
"不要說功課沒人管 我看飯也沒得吃
你講話憑良心喔 你問碧珊 我是餓著她 還是凍著她了
",搞不好真的有這種泉水,怎麼可以用這種態度對待長輩呢 你這到底是跟誰過不去,換作我們任何一位老師 都很難心平氣和,講我你自己呢 整天整夜的不在家,練功練什麼功啊,你還說到嘴角全部都是口水
"因為吊白塊裡面有一種成分叫做福馬林 同學們知道福馬林是什麼嗎
用來做標本用的
",你好聰明喔,不過為什麼是我走啊,所以大家在買海鮮的時候,好可憐總共死了九隻半,綠島一年只有六個月的旺季,那現在願望也許完啦
"您知道他們在做什麼呢
在釣魚 其實是釣小管
",其實沒有那麼嚴重,古城那邊熱鬧一點,我這麼大歲數才生這個喔,本人比較美嗎,有點晚了是不是,釣得到嗎
"考得不錯嘛 竟然考八十七分
",那為什麼還要到處趴趴走,補習班怎麼那麼小,就沒有辦法好好念,她在房間裡讀書,奶奶好想你,那當然了 我花了超多時間念書
"聽說你以前最重的時候有一百五十公斤啊 是什麼情況
去了美國之後的一兩年之內我的食量大增 吃多又懶得運動
",難怪體重會這麼重,我就是做伏地挺身,最簡單的方式就是躺在床上,體重這樣忽胖忽瘦的,最後就是跑步,輕鬆多了 效果也不錯喔
"這哪叫做算命啊 你們這些人啊真是太好騙了
那什麼才叫真的算命呢
",算八字啦 測字啊 卜卦啊 還有紫微斗數啊,不過同學們一定要有 知命但是不認命的觀念,那個胖妹啊真討厭,趁你人氣正旺的時候 發點小財啊,請看緊自己的荷包 以免遺失貴重物品,因為它有蒸氣壓
"你會覺得我們很怪嗎
",在我胸膛燃燒的都是你,這招魂一定要有他的衣服,我不想一輩子 一直待在一個小漁村裡面,你這裡的東西不錯耶,早上有一個歐巴桑 打電話來找你,不會啊 我覺得你們很自由
"豆油伯你不要生氣啦 小兵沒有這個意思啦
我們這個村子大家都知道 你做人最好 還有童叟無欺
",打贏的才能得佳人的芳心,對啊你才知道啊,那我們要開始來做紮架,這一個點就是重心的點的位置,我也不知道 它就是飛不起來,可以把那個圖案畫上去了
"阿伯 你這池裡面有養什麼東西
",可是一天兩餐 一個月六千 我覺得負擔得起啦,我們透過改造牠的生活空間 還有跟牠玩遊戲的時間,如果你要直接從牆外面 是絕對看不到的,這蘋果聞起來好香喔,豆仔魚、花身仔還有蝦子 混養的啦,有幾次上台就是發抖 然後口吃
"而對於製作手工娃娃來說 一雙靈活又生動的眼睛
",所以從在那個信仰裡面,融入到國民中小學的課程裡面,用學習的心態去,可是我在最後放棄了,這樣不對喔,同樣也是作品成敗的關鍵
"弄這麼高 牠大概也跳不出去啦
那跳出去了怎麼辦呢
",它就像是這台挖土機,給我們一個健康的建議,接下來要來做個大調查,跳出去就讓牠放生囉,買一些蔬菜水果回來吃,對你的生活有什麼改變或影響嗎
"其實奕瑄這樣的心態是可以被理解的
可是我先生他已經痛改前非了啊
",接受人家的好意是一種美德,我認為要讓奕瑄重新打開心房 是急不得的 我們需要更多的毅力跟耐性,你就拿出勇氣接受大家的期望吧,說不定就像我們點仙女棒一樣 把兩個物質湊在一起 然後就發生超恐怖的爆炸,我只是想要早點接受訓練,如果他不肯接受我的道歉呢
"媽媽 我跟你講 上次那個案子 明天就要正式發包出去了
",今天我們全家一起去吃大餐,一個活動怎麼有這麼多的問題 烤肉殺價殺不了,原來回家的路上 有這麼多有趣的事,我發現我和世界 隔著一道厚厚的門,真的啊 真應該去慶祝一下,跟搭公車看到的風景 是不太一樣的
"你知道高雄的舊名叫打狗嗎
這個不是基本常識嗎
那你知道我現在站的地方其實是海嗎
",我阿公阿嬤是從澎湖來的,是比較容易去瞭解一些事情,這是黑心商人的作法,其實這裡大家很多不曉得,我已經沒有法寶了,真的假的 你怎麼知道
"媽以為你是一時興起 沒想到你越做越開心 你想不想朝這方面的興趣發展
可是可以嗎
",蝦子和鮭魚會各自產生怎樣的變化呢,打撈過水冰鎮鋪冰塊,還可以削成甘蔗筍來煮菜呢,當然可以啦 你只要選擇你所愛愛你所選,要不然我可以每天放學都打電話督促你讀書,可是今年店裡報名參加浮潛的人又多
