Question,Option0,Option1,Option2,Option3,Option4,Option5
"哥哥 你想邀請誰來家裡跟你吃飯
",我想邀請乾爸,發現很多幸運的事就發生在咫尺,有時候這不單單是球員可以決定,南韓人對精英教育系統失去了信任,把燈關上吧,真好奇這種不完全正確的觀念從哪裡來的
"她可不只是叩來長相一樣的依依 彼此還互換衣服交換身上的氣味
這招還真絕
",牠會去找氣味比較濃烈的,正所謂鍥而不捨 金石可鏤,但是對於追蹤犬來說 怎麼不會搞混呢,我們兩個換了衣服了耶,足跡就是人踩過的步伐,可能連回到學校都有點困難
"奇怪 是走這條路沒錯啊 怎麼會來到什麼小烏來風景區
",再也不用擔心因為流汗而看起來狼狽不堪了,你姓吳嗎,沒錯啦 義盛國小就是往裡面走,一元復始 萬象更新,這麼久不見 你看起來更魁梧,那邊種了很多的葡萄
"這中間他都感覺不到你對他的好感嗎
沒有 我很會藏
他幫你這麼多
",其實說不定他也有點喜歡你呢,你可以跟父母商量,或是找好朋友傾訴,千萬不要一個人悶著頭鑽牛角尖囉,有什麼事情,我是台北的紀老師
"豆油伯我跟你講喔 我們禮拜天要辦成果發表會 你一定要來喔
要我去喔
",豆油伯星期天你一定要來捧場,沒有一個人把我的話說對的啦,所以很多人就稱它為冬瓜山啦,對啊你才知道啊,打贏的才能得佳人的芳心,那我們要開始來做紮架
"你看他們的婚姻 你覺得好嗎
",即使如此 自己是男同志的事 也從沒跟媽媽說,她可能唯一就蠻擔心我還怎麼樣吧,她應該什麼都知道了,我說你們走了,不一定都不好,我不想要拿這種東西當賭注
"這什麼東西
銅鑼燒
你是哆啦A夢對不對
",只要他們高興就好,肚子飽了再講嘛,因為哆啦A夢最喜歡吃銅鑼燒了,我的聲音怎麼樣,沒有錢吃飯,基本上錢都是她拿
"好熱鬧喔 看到他們這麼熱情的招待我 知道我要來 這麼大的場面來歡迎我
",只要大家默契好一點,真是有點不好意思,一個西瓜切成兩半,這兩個女人可想而知,可是他們從不放棄,我跳海餵魚算了啦
"那我們東邊升起的這一票星座呢
我們就叫做冬季星空
那是不是頭頂上還有星座對不對
",是會發光的恆星,離我們最近的就是太陽系,那就是前一個季節的星座,然後自己不會發光,我們的衛星是月亮,那光一秒鐘就跑地球七圈半
"這個扁柏館也是用扁柏蓋的啊
",紅檜因為它的樹皮比較平滑,這樣子紙做的不會被吹倒嗎,不是 我們是用紙蓋的喔,是你自己跳到我們旁邊來的,說到檜木你會想到什麼,它又不會說救命啊
"你們種在這邊的話 它的那個根都會到水裡 所以魚的卵都產在那個根上面
對
 鄭叔叔說
",四角吊網,這個尖尖的是什麼東西,那個就是要抓魚時,把它拉起來,這裡的魚繁殖方式非常的特別,它就會浮起來
"你會留在這裡嗎
我不知道
",老闆娘這麼熱情喔,你自己輸牌就叫人家收東西,你離去背影如黃色玫瑰,晚上表演的東西也不收一收,那我跟你一起回漁港好了,愛情彷彿化妝舞會
"天氣這麼熱你還會感冒
哈啾哈啾 才不是感冒咧 可能是你那個被子
",牠三天三夜就吐光了,害我鼻子現在過敏,我回去還要仔仔細細地跟他們說,我今天做蠶絲被的過程,今天非常謝謝兩位的招待,要想打好籃球
"跟我濂僑一起妙手走天下 絕對錯不了
那你能不能安排一趟果園之旅呢
今天就要介紹一個可以享受採果樂趣的農園
",所以我們使用這個水耕點滴式栽培,它不能使用剪刀,從它那個果實上方一公分的節,我是第一次來採番茄,是什麼樣的農園呢,那我們採收番茄
"請鄭組長來說一說 公部門為了推行無障礙環 做了哪些事情呢
我們大概第一個就是
",我們依照身心障礙保護法第五十六條,帶一個完全沒有行動能力的腦麻患者出門,我一直安慰她說沒關係,他們還要忍受一般民眾那種異樣的眼光,這些是我們所樂於見到的嗎,但是從畫中色彩繽紛的花卉
"考試交白卷這樣叫誠實啊 你有沒有羞恥心啊
不然你要我怎麼樣 作弊你會比較高興嗎
這是你跟老師說話的態度嗎 一點家教都沒有
",你爸爸他沒良心 他在外面有了女朋友,好現在跟著老師呢 把這一課的課文念一遍,碧珊今天沒有來是不是有什麼事,簡直就是小太妹嘛 我們以後要跟她保持距離才好,碰到不會寫的題目 至少要填個答案上去,你罵夠了沒啊 考零分就考零分 你憑什麼罵我沒家教
"總算考完了 還好你臨時幫我惡補 我這次寫得非常順
你怎麼啦 你應該考得很好吧
",另外甲醛就像我們喝的假酒,我們公賣局不能夠太保守,這幾年台灣的氣候,我在想如果那天我沒有傳紙條給你 今天就不用再考一次了,我過去閃靈刷手的習慣都改掉了,因為不見得每個地方
"不知道有沒有興趣 在演藝圈發展
我當然有興趣啊 不過我是一個很有原則的人
",我只唱我喜歡的歌,我是覺得做明星沒有那麼容易,除了條件好,機會也很重要,不是像你唱的那樣,不顧一切地一頭栽進去
"豆油伯 你怎麼有那麼多錢 你在藏私房錢對不對
",沒有 這不是私房錢 這本來就是要拿去郵局存的,要是不趕快存起來 到時候一定會露出馬腳的,明天再拿去寄不就得了嗎,都已經快六點了 人家下班了啦,我明明放在這裡沒錯啊,不然我這杯咖啡請你喝啦
"誰叫你是瘋狂百米小兵啊 這種要體力要速度的 當然是要你啊
我剛剛在拿這個麥克風 到處廣播的時候啊 我覺得這樣做 實在是很沒有效率耶
",他曾經做過金氏世界記錄最長的風箏喔,於是聰明的我 就想到了一個方法,宇宙無敵最會做風箏的那個,剛剛那邊好多風箏喔,對啊這應該不大可能吧,這一次就由我親自出馬
"我做錯什麼 為什麼要這樣對我
羽君 剛才一定是個誤會 大家解釋清楚就沒事了 你不要難過嘛
",看起來這麼高貴的陳媽媽 居然曾經是個犯人,大概是淋了雨感冒 加上情緒不穩定 所以她不肯到學校來,這個橡皮圈太細了吧,這回咱們就大膽的 倒入一倍的液態氮吧,這不是誤會 是歧視 是成見,製作材質不一 承受壓力的程度也不同
"阿嬤 你現在要去哪裡
要去樓上啊
要去做什麼
",她常常一連幾天沒睡覺,廟裡的人形容阿嬤是獨行俠,要去工作啊,但是就是腳步不能停,我讓你們拍一下,這個是土地公幫忙的
"聽說你們兩個很厲害 有那種很酷的發明
還好啦 但是發明倒是有 滿地都是
",就把我們車子給毀了,本來是白馬王子 到後來就變成包青天了,那跟我們分享一下吧,其實大部分都是溝通的誤會所造成的,你看 它會自己滾回去,她在工作上很夠專業
"輝哥你幫我看一下 我做的這張海報怎麼樣
地點跟時間都很清楚 內容也蠻豐富的 可是
",如果可以把我們這個 下課花路米的隊徽加上去的話 我覺得這樣會更好一點,誰叫你是瘋狂百米小兵啊,如果我們把材料換一下呢,到處廣播的時候啊 我覺得這樣做 實在是很沒有效率耶,他曾經做過金氏世界記錄最長的風箏喔,於是聰明的我 就想到了一個方法
"卻選擇在不到三十歲的時候 拋棄了自己的家庭 當時他的兩個小孩都不到五歲
我是被逼的啊
",個性比較寡言木訥的珮華,應該也猜不到就不猜了,我是被我的父母逼的,並沒有給答案,倒是友志很有系統的,綜合了大家的意見
"臉上就明明寫著不開心 你到底怎麼了嗎
你要我講什麼 我就是不開心
不開心也總有個原因 你就告訴媽媽
",我不是來興師問罪的,紀老師啊 實在真的很對不起,她回到家都悶悶不樂的,可是她到了學校 這樣畏畏縮縮的,芳儀她的個性是有柔弱一點,講有什麼用 說不定還被你唸
"他只是個沉迷嘻哈音樂的少年 一聽到嘻哈音樂 就忍不住想跳舞
",人類歷史上最屎爛最刺激,最霸道的嘻哈戰爭,已經進入到高潮,將有一個人會幹掉其他人,一跳舞身體就停不下來,並代表台灣
"哦妳還在生氣喔 好啦以後我不去了啦
當初媒人說你不喝不賭 我以為你是可以讓我依靠一輩子的人
",阿蘭還沒和海生結婚之前在台北工作過,你若不讓他出來小孩子不就沒事,長得好看的人做不了什麼事,好啦好啦不然我發誓 我絕對不再賭了,沒有啦以前我老爸是拳頭師父啦,王祿仔 這時候很少有人來擺王祿仔
"楊伯伯 你們對淑怡的未來有什麼打算沒有
這樣呢 我們就是希望她的畫藝能夠更進步
",我們希望說也趕快把它改過來,鄭組長講的這個,我們都一直在推動,政府也一直在推動,但是有些不合時宜的法規,生活可以更穩定
"小兵哥哥 你要不要綁綁看
我可以綁是不是
",那個看起來更刺激,所以人和馬一起共同的努力 這樣才能拿到好成績嘛,所以上馬是沒有問題的,可以啊,每個人都可以有他自己的想法呀,你願不願意跟老師談談
"我覺得我什麼事情都做不好 常常都惹同學生氣
怎麼會呢
",我們都會犯錯,你做事情認真,那種堅持到底不服輸的精神 老師常常看了都很感動,我每次都想做好 可是常常出錯 同學都不喜歡我,洪震 好勇敢喔,你只要保持自己這些優點 做自己才是最重要的
"警察叔叔你拿這是什麼
",增長見識一番,幫你介紹一下 這就是鐵樹的花,是新的東里火車站,鐵道已經生鏽,對火車的一切,設立於西元一九○○年
"你有買零食喔 那我也要吃
",名額已經滿了,那我也要去,不行啦 這個是我下禮拜去露營要帶的,你要去露營啊,你是誰啊,你怎麼會問我這個問題
"那你從幾歲的時候開始在學做打鐵
",客人最好是有日本淵源的,你在做什麼,初級中學畢業就開始做,全部的人都到齊了只缺主角,他原本是個威武雄壯的軍人,它大概有一百三十歲左右
"小光來 爸餵你
海生仔你這樣在幹什麼 餵小孩讓阿蘭餵就好
",所有的漁村我都找遍了,假如說肚子疼不可貼肚臍,你們看那王祿仔怎麼了雨這麼大怎麼不避雨,老闆再炒二盤菜來 這兩個不夠看,吃飯皇帝大你站起來幹嘛,我以為我沒機會再見到妳了
"很討厭耶 那麼甜蜜幹嘛
你嫉妒人家喔
",我覺得有點喘不過氣來,珍妮說說看,青蘋果的滋味,我才不是嫉妒呢,去享受採果的樂趣,我們單車騎士騎乘的水泥路
"那你為什麼喜歡來這裡
",因為這裡很多朋友,我媽媽說她在上班,學校老師請阿嬤幫忙的,這群可愛的小朋友 就是阿嬤的寶貝孫,每天一定幫大家準備點心,外面的都有發粉的味道
"你什麼星座
射手 你呢
",處女,我不見得知道,這是很自然的嘛,這個回答非常好,活到現在為止是這種狀態,他很皮啊
"我爸爸很喜歡一邊看電視一邊挖鼻孔
",找不到好的角度切入,髒死了你爸真的都這樣做喔,拜託教我怎麼寫,冰箱裡有水果 拿去吃,上網查就可以找到答案了,急救箱放在哪裡
"我不想讓同學知道我爸爸坐過牢 很丟臉耶
奕瑄 你怎麼可以這樣講話 這樣很沒有禮貌耶
",你懂不懂得餐桌禮貌,你的禮貌可多著呢,既抽菸又亂丟垃圾又沒禮貌,反正 你叫爸不要再來學校接我就對了啦,這可是公共場合喔 你可不要 讓他們再相互餵食喔 這很沒禮貌的,大家要注意選舉應有的禮貌
"請問鍾沅搬走了嗎
對呀
",怎麼不先躲一下呢,這恐怕才是我真正擺不平的吧,老師 好久不見了,不曉得耶,失去鍾沅的那一年 我幾乎崩潰,她搬去哪你知不知道
"你做這陶土做多久啦 怎麼這麼快啊
",他們可以留一些回憶,我剛剛在外面有看到耶,可是你已經做得很可愛了,做差不多三年,你不要取笑他,因為都是自己做的東西嘛
"來 你幫他登記一下
阿輝 不好意思 你這是別的郵局開戶的 我們這裡不能存喔
一樣都是台灣郵局的 為什麼不行
",因為我們這裡都用手工的,沒有休假那我們就照開,這就是我覺得很特別 有那種人情味的地方,因為我們這行動郵局只限於在這裡開戶的 才可以在這裡存,其他郵局開戶的也不行,麻煩我幫他存這五千塊
"你們剛剛有聲音嗎
當然有
",可是我那邊完全什麼都聽不到,當然牠的構造上面 跟我們也不太一樣,這狗的聽力怎麼那麼好啊,狗狗天生就有一副好耳朵,所以咱們蔓蔓沒聽到聲音也是應該的啦,你怎麼那麼聰明啊
"來信真的是太踴躍了
當然 應該說是我很有魅力 不然怎麼都指名要我幫忙
很多人被你的外表騙了 其實論功力來講 我仍凌駕在你之上
",聽你亂說 你真的是會吹牛,我的服務對象是擅長編織中國結的邱惠群小姐,因為即將過年 店裡面準備大掃除,第一次為聾朋友服務 我好緊張,為了贏得勝利 我一定要盡全力衝刺,何況我還沒有見過她
"可是滅火器 基本上它不是因為美觀的時候才要用 滅火器是在你面對到災害的時候
",是辛苦存了多年買下來的,他們很珍惜,除了這些用心的佈置,你方便用,能讓這個家不但漂亮,但願今天的防災突擊
"你是說只要我在外型上做改變 就可以化解了嗎
",多少有點幫助吧,你的臉色很難看耶,物超所值耶,送她去保健室,看來最近大家對算命這件事情 挺熱中的喔,民國幾年幾月出生
"不覺得我們相處時間太多了
失去很多和其他同學相處的機會
我做錯什麼
",絕對錯不了,沒有啊 你沒有做錯什麼,會想請誰來吃晚餐呢,是我的姊姊幫我報名的,叫做掃叭隧道,你會一點點手語耶
"我覺得你們好棒喔 就是小小年紀可是對哈瑪星這個地區這麼瞭解
你們是透過什麼方式來認識這個地方的
",媽在旁邊指導你可不可以,我們在民國五十年代六十年代,但是我對她還是好奇心蠻大的,小站小站每一站的車票嘛,學校都會有社區巡禮都會來到處參觀,那也是用這個原理
"他當初的出發點 也是為了我們 為了這個家 不是嗎
就算他是為了我們這個家 他也不能做違法的事啊
",你要選里長嗎,奕瑄 你說的沒有錯 可是你爸爸為他做的錯事 也付出了代價 不是嗎,那里長伯幹嘛要抗議啊,就像我們這個萬里長城,我是里長嬸,亂開玩笑是要付出代價的
"你要幫我帶一包東西 去給吳佩珊同學
好 沒問題 那吳佩珊是誰
",她是台大的學生 她專門在研究神秘果這樣,那是不是有機會可以讓我採一些回去,那吃了這個神秘果 是不是以後吃酸的都變甜的,譬如說糖尿病患者 他對那個糖分的吸收比較不好,它會把你的酸的味蕾鎖起來 甜的打開,你看 我都沒有很酸的表情
"海浪大的時候 海浪就會翻動比較大的礫石 把海底的礫石給沖上岸
",整個比賽場地我都去看過了,它就變成礫石灘了,所以我們把它阻擋下來,又怪我們,你們要去跳這個撐竿跳,在台灣裡面有三個地方有
"它的手還會動耶 有沒有 很可愛
對啊 可愛是很可愛啦 但是對於我們男孩子來講
",這個好像太平淡了一點嘛,然後又坐在這種戶外,我在做環保玩具啊,我才不怕呢,也可以動動手喔,不用花到一毛錢
"你那個水分要不要多一點 你那個根本就沒有水分
我放了啦
那麼少的水分 等一下要加米酒不是嗎
",為什麼螃蟹的眼睛 沒有人在吃啊,所以你要把這個也當成 工作的一部分,它比一塊錢還要小耶,你一個月花這麼多錢 你錢從哪裡來的,這蘋果聞起來好香喔,你要加米酒 你也是可以放水多一點
"我跟大家補充一下 寇家瑞先生是寇世勳先生的兒子
對 可是很不像你有沒有覺得
",所以我才說我要補充一下 要不然大家沒有辦法聯想,的身體的手腳這麼長耶,我已經忘記他幾公分,那家瑞有一個孩子臉 就是非常孩子氣,然後我這次也覺得 佳穎進步好多,他不是那種性格派 他就是一個孩子氣
"你到底有沒有去看醫生啊
感冒啦 過兩天就好了
",多尊重我一些意見,你還逞強 看你咳成這樣子 感冒可是不能拖的,我們應該可以更好相處吧,你看你自己這個樣子 簡直未老先衰啊,但是我就是憋不住,別說什麼年輕體力好 再好的身體也吃不消
"陳韋辰 你沒事吧
沒關係
不舒服就不要跑 我幫你跟老師講
",那什麼才叫真的算命呢,不要啦,誰稀罕當女總統啊,你是什麼座的啊,你不是不相信連娟微嗎 怎麼也跟著排起隊來啦,餓上三天 鐵人都會掛
"開始搬東西 師母開車
師母怎樣
",就覺得說這師母會不會太厲害,最後有一天 我們的製作人黃玉明跟我說 你知道嗎 師母是政大畢業的,台灣有時候就是這樣子 處處讓你感動跟驚喜,好厲害喔,對 這種堅持 這種相處,那一步轉身過來的時候 是什麼樣的人生
"我覺得很好
所以自己給自己打幾分
",一百分,這年頭企業要經營形象真不簡單,大家在罵的事情都差不多,我是腫瘤科醫師,兩種說法都同樣的糟糕,靠讀書填滿人生的人 很難理解
"我還以為是什麼新奇的玩具 原來是我小時候就玩過的扯鈴
",星期的手語我現在要教囉,你剛剛才跟我說 作業不都是你自己寫完的嗎,另外一個比法是在手錶的位置,星期六早上八點半集合的時候 記得喔 把英文作業帶來 借我觀摩觀摩一下,對啊 有沒有很羨慕呢,我跟你說 你不要小看這個扯鈴 這可是曾經讓外國人 都很著迷的國寶玩具
"不要一直逼我背台詞 我的腦筋不好
濂僑 全天下人都知道 濂僑你是NG大王
",像戴老師這麼傑出,把這個家園蓋起來,人家當然要緊盯著你練習是啊,後來以跳舞才走出另一片天,他也說我手上沒有什麼錢,一起來欣賞吧
"她媽媽曾經是個犯人喔
看不出來 真的被她騙了
她到底犯了什麼罪 為什麼會去坐牢呢
",下一次說話要考慮 不要傷了別人 再來道歉,你還在生我的氣啊,我沒看到前面的報導 只知道她曾經坐牢就對了,算你們還有一點良心,可不可以請你幫我們 轉交這張卡片給陳羽君,你們自己做錯了 還推卸責任
"少瑄為了主奏 陷害李芯
怎麼這樣 她們不是很好的朋友嗎
太可怕了 沒想到少瑄竟是這種人
",反正我只是個候補,比較沒關係啦,你們好厲害喔,我沒有這個能力,因為我受傷的事情只有告訴她,看來要多提防她了
"你幹嘛推我啦 弄破了
是小中絆倒我的
",市面上有很多黑心的化妝品,不是我啦,我們來做個實驗,來 我們來好好練一下,你沒有看過布袋戲嗎,要先吃葡萄柚
"驚心動魄的滴血認親情節 宮中貴妃被皇后誣陷與太醫有染 指出所生的皇子
",是要做什麼實驗呢,特別準備了石斑還有龍蝦,你看看主任對我們倆有多好,知道我們剛剛抽完血,身體可能有一點點虛,並非是皇上的龍種
"其實你跟她也很熟啊 她就是知名的廣播主持人 劉麗紅
",這大家應該就不知道了吧,但是她是如何從一個自卑自憐 痛苦矛盾的女孩,劉麗紅的人生故事嗎,原來是她啊,不過你知道嗎,她是劉麗紅
"她要求我讓她到班上 向各位同學道歉
老師 陳媽媽又沒有做錯事 為什麼要向我們道歉
",不過最重要的 還是要把自己的心理建設好 以平常心去面對,我也是這麼覺得 所以我拒絕她了,她到底犯過什麼罪呀,只要你肯原諒媽媽 媽可以做任何事來補償你,你感冒好了嗎,你早把事情說清楚 不就沒有這種情況了
"面對這五花八門的小技倆
",你能瞧出箇中奧妙嗎,獲選之後當然是很開心囉,可不可以先跟觀眾朋友們問聲好啊,他就是我們今天的主角,踏實的一步一步往前走,你不要取笑人家了啦
"我是說加上這個月的零用錢 剛好存夠四千多塊啦
是這樣 那你存了多久 你該不會是偷你媽的錢 來買的吧
你說那什麼鬼話
",幹嘛要這樣,反正你球打得那麼好,老師一定會選你參加比賽的,我像是會偷錢的人嗎,這就是你的球技,不如我的原因了
"我覺得不公平 我們都贏不了男生 但老師卻說訣竅在以柔克剛
",對消費者都不公平,這個遊戲最重要的就是 不能靠蠻力 要靠這個 來出奇制勝啊,訣竅只有一個,沒關係 大家公平競爭嘛,任何比賽都是公平的,對誰都不公平
"認識的同學我都打過啦
同學都說他下了課之後就回家了 奇怪
我去公園球場看看好了
",你現在才十四歲,那為什麼曾建勝跟王柏翰他們就有,要手機做什麼啊,那我去網咖看看好了,別人家的事情我管不著,不要學著流行
"阿爸阿蘭身體本來就不太好 她又很怕生啊
再怎樣她也要來廟裡拜一下 人家說有燒香有保佑咱討海人靠海吃飯
",總共我才看你輸不到五百元怎麼沒錢了,好啦阿爸 人少的時候我再帶阿蘭來燒香啦,當初媒人說你不喝不賭,我姓蕭 蕭先生,什麼怪水 以前一直說這是毒龍潭,先別急 這個情況是這樣子 我也不知道
"不好意思喔 這樣子麻煩你們 真的不好意思
",上次教你幾道菜 今天輪你下廚,現在時間很晚了 我先送你回家,辦法我已經想好了,沒事 只是膝蓋有點痛啦,對於這樣的成績 你們滿意嗎,不要這麼說啦 我也有責任
"為什麼不給牠做成圓的
因為做成圓的話
",那我們這個步驟做完了,接下來咧,接下來就是要用清水把它沖乾淨,沖乾淨以後,我們再把它晾乾,我們要處理起來很麻煩
"不過這個本氏液是幹嘛用的
你不知道喔
來 小中解釋給他聽
",先喝檸檬酸它本來的味道 證明它本來是酸的,可是要把這麼小的細胞切成兩半 過程很複雜也很專業,沒問題 看我的秘密檔案 本氏液它是藍色的液體 它是醣的指示劑,所以我們在這邊 準備了三支的試管,會讓我有那種有為者 亦若是的雄心,今天我們就要來實驗看看 神秘果裡面到底含有什麼樣的成分
"你是說我這一生 戀愛婚姻都不可能會幸福啊
",天下沒有不勞而獲的事,這本來就是我們當老師 應該要做的啊,拜託你不要那麼全心的投入好不好,你這禮拜遲到多少次了,幫我算一下我今天的考運是怎樣,不是我說的 命盤是這樣顯示的
"第一類在這裡 這三個大概是對
",不可以說大概 要確定是對 一定是對,所以老師妳是不反對我參加龍隊了,我反對,大概是我比較笨啦,我也不會堅持反對你去念高職,不過其實慧玲她是一直反對的
"我本來想要參加徵文比賽的 結果這個題目是我的家庭 要怎麼寫啊
拜託好不好 像這種老掉牙的題目 從小到大我們不知道寫多少遍
對啊這樣你還寫不出來喔
",難怪在日本會大受歡迎,再也不用擔心因為流汗而看起來狼狽不堪了,我的夢想遙不可及,就是寫太多遍 寫到最後我現在都沒感覺了,你都灌什麼防毒軟體阿,這本武俠小說劇情太精彩了
"老師 我怕我做不好
",他還曾經跟我講說,就算漁民們使用百萬分之一微量濃度的吊白塊,看是see過去看是saw,而且到現在活得很健康,你放心 有這麼多幫手在 老師對你的才藝有信心好不好,是這個地區很具代表性的西子灣
"是梁老師私底下把你那幅綠島風情畫 寄去比賽的
為什麼
",這是我的努力 我的夢想,現在我們就請校長頒發 我們請陳妍如同學上台領獎,你的優異表現 是我們綠島國中的光榮,媽 你怎麼來了,因為我們覺得 既然你那麼有畫畫的天分跟才華 就應該接受各種公正客觀的肯定,看著妍如與她媽媽相擁而泣的情景 心裡的感動真是無法言喻
"第一關實習要跟的是外科 特地請了外科主任一起來吃飯
",你這個人就是心太軟了 喜歡幫助別人,如果我不去就不夠朋友 對不對啊,老師不是說 同學應該要互相幫忙的嗎,真的嗎 心臟外科主任 他是我的偶像耶,只要不逼我寫作業 什麼都好,我們倆教了一連串的手語 現在先來練習 關於外科的手語對話
"原來是這樣啊 難怪她一直跟我收利息 我還一直賒帳跟她買東西 真的很不好意思
沒有關係 老師知道你是無心的
",妍如她會特別計較金錢 那是有原因的,老師 我下次跟她買東西 一定不會再賒帳,所以這些錢 是她們自己光明正大賺回來的,鈺婷 你說的話說到要做到,好了我們開始上課,老師 謝謝你來看我
"你有想過去流浪嗎
好像有過吧
阿明
",可是,可是究竟什麼東西,你愛上我了對不對,不是丟了什麼東西,我就是想不起來,我想去流浪
"你們到底要借竹竿做什麼
我們要比賽 撐竿跳
你是說真的還是假的
",當那個讀書會主持人嘛,直接騎用馬達的,當然是真的啊,有沒有什麼好玩的,底下這個很深,潮濕就會有很多的水蛭
"沒有人知道這件事 可是我自己就這樣臉紅到不行 覺得丟臉
可是你父親 母親 知道這件事嗎
不知道他們也不知道 都不知道
",就是上禮拜穿過的衣服,那正好當時的青蛙王子高凌風 他要出唱片,所以你的人生經歷 是非常豐富的,那不是鹽啦,所以吃的東西如果想要保存久一點,這樣的話放了很久也不會壞
"我就簡短的回答
",而自己沒有媽媽,可能一時不適應,因為也不想多說什麼,孩子還在念書的時候,都是需要我來做,他們都會一直講
"涂先生 那一次養那麼多的蠶 平常要怎麼照顧牠們啊
我們只有餵桑葉給牠吃就可以了 現在正在牠要餵食的時間
",我今天來這邊就是想要學怎麼做蠶絲被,那可以請你帶我去參觀嗎,那我們就一起過去吧,真的嗎,那我們趕快餵牠吃,真的
"你怎麼能把自己弄成這樣
",我有怎麼樣嗎,課本拿出來,筆電很貴耶,我不捐錢,沒機會了,一定會感覺很窩心
"那可不可以用一些科學的實驗 或者是原理去驗證它呢
",謝謝你 怎麼對我們那麼好,你祖媽咳到快死了你還不醒 枉費我做你老婆做這麼多年,省錢是幼華換東西 最主要的目的,太極拳的一個原理 當然是可以用科學的方法 來驗證它,我如果不說 你絕對不瞭解,很多人都反映 聽不懂柯委員在說什麼
"就是這位單親爸爸他因為絕望 打算抱著女兒 要從天橋上跳下去
",真讓人心疼啊,真的非常普遍,改編自真實社會新聞的電影,國內有一部,在艱困的環境下如何互相扶持,我記得其中有一幕
"山水還有一個很著名的風味食材 你知道是什麼嗎
提示一下嘛
風
",先往左邊 然後再往右邊,好山 好水 好風光,現在有三百多隻了,沒辦法組一隊,風 風箏,我要先離開耶
"我也知道則緯 是因為喜歡我才這樣做 但是我真的只是把他當成好同學而已
",我不想跟他們糾纏,這樣以後你們更少見面,你喔 皮就繃緊一點,人家孩子在開玩笑 你當作真的啊,那你就應該直接拒絕他啊,有這麼誇張嗎 我有二十次沒跟你們逛到街喔
"一手交錢 一手交貨 五十元先拿來
我忘記帶了嘛 先欠一下又不會怎樣 我明天再還你
",我是那種人嗎,這貝殼好特別 好可愛喔,不行 你每次都說明天,難道溝通不了,親兄弟都要明算帳了,你一定覺得媽媽很難溝通
"鄭永銘老師執教物理二十七年
最擅長將枯燥難懂的科學
",改變了您的一生,化為神奇有趣的魔術,那接下來 你要帶我們去哪裡玩呢,這國內國外走南闖北的,可是渡邊他是日本人,豐年祭的時候才穿 比較慎重
"我用腳踢或是我用拳頭打 可不可以
",這要兩腳要跟肩同寬,你就儘量能蹲低防守就儘量,先三點著地就輸了,會長有跟我推薦了兩位高手要來幫我忙,這一連串的體力考驗 真的是讓我有點吃不消,不行 那完全犯規 你不能去攻擊人家
"我看別說什麼奧運金牌 黑帶可能都有問題 我大概只要能往上升一級 我就要偷笑了
",不會啦 學習任何的武術 要有努力才會有收穫,既然已經掌握到擊破木板 快狠猛準的四個訣竅 現在就換我來試試看囉,我可以這樣擊破木板 是因為有教練在旁邊監督指導我 你們在家可千萬不要偷學喔,看到沒有 我就是快狠猛 但是不準,同學們怎麼都那麼厲害啊 有沒有什麼擊破木板的秘訣,我今天把大家請來 是想表演一小段簡單的跆拳道
"詠真為什麼不直接告訴我 她不喜歡我 還讓我這樣一頭熱的為她做那麼多事
",讓風痴笑我不能拒絕,委婉的拒絕人家就好了嘛,你呀根本無法拒絕美食嘛,我們可以拒絕採訪的權利,你要不要試試看拒絕,她有拒絕過你啊 只是你沒有聽進去
"思卉 你晚上有沒有要去哪裡
晚上啊 我應該會去阿輝那兒吧 你要跟我一起去嗎
",我覺得她蠻有這方面的天分的,好 我們開始上課,妍如 你真的很愛錢,不然老師 算你五折就好了,好啊 最近真是太忙了,妍如 你這麼厲害 還會設計啊
