Question,Option0,Option1,Option2,Option3,Option4,Option5
"蟑螂丟到可樂裡 會被腐蝕光光啊 天天喝小心你的胃
",你不要危言聳聽了好不好,我要走囉,禮拜六還要用呢,她真掃興,正好拿可樂來把它刮一刮,你不要再強詞奪理啦
"濂僑 那你有什麼夢想 夢想實現了沒有呢
",手語有兩個比法喔,應該就是英文了吧,我的夢想 是希望以後可以成為一位 手語界的名師 你呢,而且我那個電視 一定會選比較螢幕大的 這個對我來看會方便,我們得ABCD 一個字母一個字母的死背單字 很辛苦,每個人心中都會有不同的夢想
"你知不知道這附近有一間招待所
招待所就是這片樹林後面有一棟日本房子
",我看不用了吧,留下來的藏寶圖,就住在這附近,全部的人都到齊了只缺主角,這裡是桃園縣龍潭鄉的觀光大池,你說那間鬼屋喔
"為什麼我們都看不到扁柏的神木
",松樹柏樹這都很長壽啊,因為它在過去有一段慘痛的遭遇,你帶我去看哪裡有紙,那這些都是扁柏囉,現在我來考考你,資料一定很豐富
"是妳自己放棄的好不好
",先知是孤獨的,相中網紅是因為網紅自己會有大量的粉絲背景,想到夏天就想到蚊子,健身房放的歌很單調 就是那幾首英文歌在循環,妳以為我願意啊,今天的天氣真熱
"你們怎麼這樣子 拿一個望遠鏡在偷窺我哦 沒禮貌
這望遠鏡哪是用來偷窺的 這用來觀察星星的好不好
 觀察什麼星星
",你不知道最近有那個土星大接近嗎,最近這一陣子是三十幾年來,趕快趁現在看才來得及,比方說太陽只是其中的一顆,也是可以看別的星星的啦,你在笑什麼啊
"你說我該怎麼辦嘛
你怎麼可以做這樣的事情
",要不然你要我怎麼辦,補習班下課了,我小孩也在這附近補習耶,補習費很貴吧,貴不貴啊,蠻貴的
"姊姊知道蔡依林嗎
我不知道
不知道
",可是你工作很忙啊,你要把我害死,他還有全家人的衣服要洗,他學會承擔,你這個不利啦,是喔 那姊姊知道周杰倫嗎
"那你想蓋什麼樣的學校
",小朋友現在正在很快樂的學習啊,小朋友要自己製造自己的家啊,同學很幸福,這邊怎麼會有個洞啊,很多人住在很遠的地方,我想要有一面很大很大的牆壁
"暑假快要結束了 你幫你的小孩做了什麼樣的暑期規劃啊
在他們還沒有放暑假之前 早就計劃好了
",廉航機票便宜，是不少人的選擇,我肯定會讓妳後悔,該公司研發了一款員工管理軟體系統,那你們知不知道有一個暑期的 兒童戲劇課程的活動啊,那首歌真的超好聽的,今晚要去餐廳吃飯
"這大概就是我唯一會在外面 用餐的機會 主要目的就是要介紹一個
",特別的東西給外國人,然後躺在床上聽音樂,幼華在其中換到了生活樂趣,廚房就會變得很熱鬧,以為房間有十幾個人,我打不過狼人耶
"快睡著了
快睡著了喔
",馬可多發現事情大條了,對啊昨天晚上沒睡,完全嗅不出緊張的氣氛,他就一定會做到,這樣比較方便啊,我把這些弄下去蒸
"我記得有一次 孩子打電話跟爸爸說 我考到大學了
",就是這樣,所以讓我很放心,他也非常的努力讓你安心,想再請問士真,你陪著孩子一起長大,可是爸爸沒有回應他
"濂僑 你念中學的時候 最拿手的是哪個科目 最不拿手的又是哪個科目
",我有一個好朋友  連我都看不下去了 只好很雞婆的 每次都幫他拒絕別人,真是皇帝不急 急死太監,這段描述在校園中 常發生的濫好人橋段吧,我想想啊 我覺得我對數學很有興趣,沒關係 先進去再問問看好了,我可是射擊比賽第一名呢
"妳希望自己考上哪所大學 對自己未來的期望是什麼呢
",請介紹一下這本月刊的內容 還有妳編這份刊物的感想,我希望考上師範大學 然後用我四年的時間 在裡面好好的學習很多東西,你作業寫不完 一定很著急吧,台灣大學是台灣首屈一指的大學,如果身體裡面出了毛病 要去看哪一科呢,今天天氣很不錯 可以去外面兜兜風
"醫生 病人怎麼樣啦
",爸爸他被機車撞到,我已經跟學校請過假了,醫師 謝謝你喔,病人現在已經沒什麼大礙 只需要住院觀察幾天,我學校還有事 我不吃早餐了,可是你都不知道 他現在超會念的
"你們家屬同意書 手術同意書填好了嗎 可是他奶奶我們還沒找到呀
",你剛不是去打電話,家屬先在外面等一下,你去問一下四毛,安安想先走他要回去上課,我們代簽可以嗎,你那麼兇幹嘛
"我是不是要這樣 一直翻一直翻這樣子
",那個是我們常看到的麻雀嘛,它感覺很像那種電磁爐的感覺,可能又會被海關多罰錢,是不用這樣啦 差不多兩小時翻一次啦,不知道有沒有可以隨身攜帶的迷你手推車呢,這樣的設計真的有體貼到啦
"其實我真正想讀的是餐飲科 每次看到烹飪的書就會很有精神
",不喜歡被電的感覺,好啊 如果你沒辦法趕上我 那乾脆我考差一點跟你一起去讀職校好了,你說現在外面搞樂團的人,所以這樣整個看起來,看得到還是看不到,賈晨舒琪她們兩個怎麼了
"現在 還有車子去瀘沽湖嗎
",我們這裡沒什麼好吃的,沒有車了,誰說我結婚啦,我是個快遞員,我終於找到工作了,我爸媽就是因為第三者而離婚的
"你要學起來喔
好 我要拿這個打天下
",你要學得像喔 學不像你就完蛋了我跟你講,八戒 為師不是告誡過你 不是屬於自己的東西 不能隨便佔為己有嗎,他們很多來應徵的時候 都不是自己一個人來,我爸因為工作的關係 常常都不會在家,所以你只要種下這五顆種子 就會長出宇宙,凡是具有歷史文化意義的語言 都值得我們去推廣
"奶奶 你在這個眷村 有沒有什麼最難忘的生活
",在下沒齒難忘,夠了好不好越說越煩 你能不能說點好聽的,我沒有千里眼或順風耳 可以把這個蘭陽平原上的宜蘭 一次看透透,因為我們現在的電視 都充滿了那些奇怪的那些新聞,交給天公伯做主,我最難忘的就是鄰居 大家出來聊天
"我想要請假
你要請多久啊
",事實就是這個樣子,不然鐵定又會遲到,妳要不要上來坐一下,一個禮拜,這樣我們再下一盤好不好,看到那封信 我自己也要流眼淚了
"我問你 當初你怎麼會喜歡做中國結呢
",誰叫她是老前輩 只好乖一點了,現在這景氣不好,我是從國中的時候開始學的 從此就產生興趣了,牆上這麼多的中國結 都是你編的,沒興趣我也就沒辦法了,例如以前我就去啟聰協會教過中國結
"那新的一年你有什麼新希望啊
",轉眼又要過元宵節了,我希望世界和平不要再有戰亂,乾脆今天我們就請「聽聽看」的主持群,有什麼好洗的啊,你不要取笑人家了啦,我是曉書
"我覺得這個媳婦很好啊 超好的啦 超好的
哪裡好
",爸爸會管牠而已,什麼都好,那我會打瞌睡耶,倒一杯給你媽媽喝,今天晚上特別買的,等一下我放給你看
"我們只是利用這個圖片 來引發內在的情緒 去讓創作者去投射他的感覺
",王大姊的手藝真厲害,到底發生什麼事啊,許多比賽項目,因為這些感覺有時候可能很難說得清楚,每一位都是水中的蛟龍,以後就沒辦法跑了
"這枝筆桿啊 全部都是K金做的 漂亮吧
真的好漂亮喔 你爸爸怎麼捨得給你啊
",你媽媽打過電話給老師,你們這樣對待她 太過分了,這次段考我進步很多 我爸爸給我的獎品,我才不來受氣呢,我們要向羽君道歉,我們並不強調指拼法的這個部分
"你看我的 我的這樣隨便這樣一放 它就飛上去啦
怎麼會這樣
",這一個點就是重心的點的位置,可以把那個圖案畫上去了,我也不知道 它就是飛不起來,講我你自己呢 整天整夜的不在家,怎麼可以用這種態度對待長輩呢 你這到底是跟誰過不去,換作我們任何一位老師 都很難心平氣和
"依君我有禮物要送給你
",以後沒有交作業只要這樣 應一聲就可以打混過去了,這份禮物是跟老師賠罪的,對不起我不是故意的,好 這個就是我們今天比較級的用法,有餅乾吃我也要吃,真的嗎 什麼禮物
"流傳的滴血認親 卻有另一番註解 不僅認為滴血認親不可靠 甚至說出只要血型相同
",血液就會溶合,那我們首先要讓魚安定,眼見黃同學讓石斑魚安定後,再用針管抽取魚兒的尾靜脈血液,看來魚兒抽出的血,和我們人血差不多呢
"開玩笑我自己喝飽回來就好 我幹嘛還帶回來給你們喝
",我們下課花路米探索的精神,我從小就在這裡長大的,冷冷的泉就是冷泉啊,怪水什麼怪水,以前一直說這是毒龍潭,你怎麼這樣子啊 小氣
"現在先請老師 給我們博愛國小分數 請舉牌
",扣掉的分數 加起來比我們得的分數還要多,五分 四分 五分 總分十四分 恭喜你們 博愛國小,對分數這麼有興趣啊,而分數跟結果不一定是最重要的,我反對,分數不是那麼重要的
"賢賢 聽你這麼講 就知道你一定沒有坐過阿里山火車是嗎
我是真的沒有坐過 難道你們都有坐過嗎
",有啊 我有坐過,豆油伯說他們幾個都是鐵道迷,那種感覺很好耶,賢賢 你在看什麼啊,應該算是順道拜訪吧,賢賢 你們在說什麼鹽田
"妳今天幹嘛吃那麼多肉啊
",這個看似鐵餅的東西其實是拖板,這種有序的結構本身違反熱力學第二定律,錄音室消毒殺菌 以防遭傳染,淡雅的味道也讓醬油有發揮的空間,這些年來經濟成長率提升,我明天就不能吃啦
"所有的科目我都幫你整理在筆記本裡了 而且我都做好標記分類
你花多久的時間整理的
",這個你不要管 只要讓你有好成績花多少時間我都願意,我已經沒有法寶了,因為這聲音是以前的聲音,握刀一定要先這樣子,當初我只是想要幫舒琪,代表的這是一個公司的代號
"每逢年底 聖誕佳節的前夕 他會裝扮成耶誕老公公 幫忙募款
",作為照顧身心障礙朋友的經費,那個直升機這樣轉,仍然賣力的推輪椅,繼續坐著輪椅闖關,這樣的結果出乎意料之外,有人容易緊張
"怎麼樣 可以動嗎
我小心一點應該可以啦
怎麼打個球打成這樣子嘛
",你們也不分青紅皂白 就誤會陳羽君,希望她早一點回來上課,簡直是模範母親,算你們還有一點良心,對 我們要丟掉過去的陰影 向前看,只是扭到擦傷而已 您不用大驚小怪啦
"你看他們的婚姻 你覺得好嗎
不一定都不好
",高齡七十八的阿嬤 堪稱小朋友殺手,從小一起長大的妹妹也不知道,讓大家吐露心聲的絕佳美味,有三個小孩的陳綢阿嬤,一定有好的啊,他想找誰來吃飯呢
"你現在一天大概還要喝多少
",那個還不到半秒鐘,退休前的恐懼和憤怒又來了,他會應該很容易瞭解那種心境,頂多不會超過兩瓶,我的個性 就是比較不服輸那種個性,他們還為來賓準備了三個蓋盅
"阿火叔你有沒有看到我家阿蘭
有呀說要帶小孩去海邊走走
",快點走去派出所 到派出所再說,希望我們阿蘭若嫁過去時會好好疼惜,如果有一天我離開了 你會恨我嗎,對阿爸我送你回去休息,原本打算明天去醫院探望阿爸的,你是不是常帶女孩子來這裡來海邊玩
"這裡的養蝦場是用海水養殖蝦 而且今天我們來的日子剛好是他們收蝦的日子
收蝦是什麼 是蝦子收成嗎
",或者是有事情不能解決的時候,所以我在學校生活裡面,雖然柯老師信誓旦旦的說,裝的正是一氧化碳,真好這麼早就立定志向了,對 就是蝦子收成
"你今天的狀況不是很好 彈琴的力道明顯都不足 該重的音階 幾乎都只是輕輕帶過
",而該輕的地方 幾乎都聽不到,記住機會是留給準備好的人,我是真的沒辦法,你們好厲害喔,後果可能會更嚴重,但是你要懂得保護自己
"而且我相信 你在那兩分鐘的獨奏表演 一定會得到最多的掌聲
謝謝你 你真的是最最最夠朋友了
",那就麻煩你們囉,我是真的沒辦法,李芯真的好專心,後果可能會更嚴重,誰叫我們是鋼琴雙姝呢,我的手好像越來越嚴重了
"有這樣的想法 那是一件很棒的事
沒有 也有人不願意演啦
",它不只是一個電視劇的消耗品,可是很多演員再怎麼辛苦 都願意繼續跟老師合作,而且還可以看得進去的,他說等一下 我忘記問了,我剛剛已經是最好的狀態了,也有人不願意演
"我很多事情都不會跟他討論 然後發現做了之後他不喜歡
",然後吃完飯再進去念書,我也擺臭臉,然後就自己進房間念書,然後吃飯再出來,然後他就生氣,我自己太有想法
"所以經過離心以後呢 上面就分為血清 下面就分為血球
",它的血綠素裡面是含有銅離子,所以當它跟空氣接觸以後呢,重的血球就沉下來了對不對,班傑當然不會忘記,來醫院的主要目的啦,這次參與抽血的人分別是
"我看你回到家到現在 一句話也不講 你是不是在學校發生什麼事
",你的腦袋就是跟別人想的不一樣,沒事 你不要一直問好不好,她就會很擔心 擔心到連覺都睡不好,你知道嗎 她難過得連飯都吃不下,這樣也叫天兵喔 有誰的媽媽會像你這樣,我保證 不用打勾勾了啦
"冒泡的感覺是什麼啊
",我已經沒辦法去了,台灣已步入高齡化社會,親友追思溫馨感人,究竟沖繩的魅力在哪裡呢,許多小朋友會在狗狗貓貓的陪伴下一起成長,喔 很難形容
"我們馬上去看醫生 好嗎
不行啦 如果這時候去看醫生
",記住機會是留給準備好的人,你想這麼做,一定會得到最多的掌聲,可是你不是也是合唱團的候補伴奏嗎,說不定你還有機會取代她呢,醫生一定叫我要多休息 不要彈琴
"你跟阿陽在一起那麼久了 那現實生活當中你是他的什麼 還不是只是普通朋友嗎
誰說我們只是普通朋友 我們的關係你又不是不知
",希望等一下 阿陽不要認不出我們來,你們整條葬儀街都那麼傳統 每家都要搞得跟清朝人一樣,你們家這種傳統葬儀 都一定要把人家弄那麼難看嗎,誰承認你們的關係啊 難道你可以當著大家的面 說你是他的未亡人嗎,你們快點啦 明天阿陽就要入殮了 今天晚上是見他最後一面,我平常也不會這樣穿啊 這根本不是我的style
"你是不是喝醉啦 我跟你說 我就在附近 我去接你喔
不用了啦
",可是他不想要我,我自己叫車回去就行了,我給你時間好好的考慮考慮,你這幾年的表現,從今起我卯起來賺錢,小孩子可不是小貓小狗耶
"媽 如果我去讀餐飲科而不去讀普通高中呢
",一千四百西西的水,吊白塊裡的福馬林,那也很好啊 只要你自己想清楚 你做任何決定媽都支持你 加油,明明考試之前的重點,就是maru2,到現在還不知道要考什麼
"但是透過廣播呢 我自己給我自己的心靈 做了一個很好的治療 跟聽眾朋友們的互動
",目前沒有辦法擴及到個人服務,但是如果你個人,真的是有這樣子的需求,也讓我感到非常的溫暖,包含說如果你真的是臨時發生了一些狀,其實我們還是會有一些彈性的處理
"可是你不是也是合唱團的候補伴奏嗎  你不用準備嗎
反正我只是個候補 比較沒關係啦
",你今天的狀況不是很好,你們好厲害喔,好 那就麻煩你了,如果你因為不甘心,怎麼突然停下來了,傷到哪裡了
"就是這位單親爸爸他因為絕望 打算抱著女兒
",真讓人心疼啊,要從天橋上跳下去,真的非常普遍,像我自己,就是單親家庭長大的小孩,沒錯
"我用來裝錢的包包不見了
錢不見啦 怎麼會不見了呢
",我 我不知道,好久不見,不見得比較輕鬆耶,不要老是躲著不見人嘛,我怕你聽不見啊,什麼都看不見
"那時候其實你們都還很小耶
對啊 除了那個總監很老之外
",你不用來念了,可能一定會走得更辛苦,沒有 他那時候還是讀高中而已,有人對你有興趣喔,當然他們都覺得很討厭,為什麼不當教授
"不能因為你幫我這一點小小的忙 就要我買那雙鞋送你
媽 你想到哪去了 我這次是義務幫忙 沒有任何條件的 你放心好了
那你要確實把它清理乾淨喔
",銀行經理盜領公款逃逸,損失三百萬元,太可惡了,又見飆車族逞兇砍人,我再進去把湯熱一下,回來啦
"土星的體積非常的大 是地球的七百四十五倍耶
真的啊
",你知道它有多輕嗎,不要亂猜,土星的體積很大哦,但是 它卻是太陽系中最輕的行星哦,好可愛哦,你們知道嗎 土星的體積很大哦
"所以你們家用得最多的 應該就是紙跟筆了吧 是不是
是
然後很多人說 你們家是用稿紙糊起來的 是因為真的是爸爸媽媽 真的就是靠筆耕
",都用鹽醃起來,那是香茅油你拿那個做什麼啊,我跟你講豆油伯送的禮物好不到哪裡去,還好爸爸那時候他是軍職 那軍職至少有固定的軍餉,你再考別的有沒有其他的東西可以送,我們台語其實也不錯
"怎麼培養我們 然後怎麼教我們寫文章
從來沒有
沒有嗎
",要爬二千多公尺,完全沒有,我最起碼可以說十種,火車就是這樣才可以行駛的喔,看到他的那個寫作的身影,這個就是直立式汽缸
"那米開朗基羅牠的個性是怎麼樣的
蠻凶悍的吧
蠻凶悍喔 所以我們不可以太接近牠是不是
",發現你的騎術真的很不賴,殺得他們片甲不留,就要把馬牽過來這樣,馬術就是要比優雅的嘛,不會 對人很好,你平常除了刷馬之外 還要幫馬做些什麼事嗎
"張瑞桓 我到處找你 英文講義的錢你還沒交喔
來不及囉 我現在口袋空空是也
",不是應該要選成績最優秀的人嗎,明明交錢那麼簡單的事 為什麼你可以拖那麼久,可以瞭解更多你們的生活小秘密喔,老師還會另外準備神秘的小禮物喔,又要孝順父母,終究還是回到了我最喜歡的校園
"簡單的說 這是一種先天性的心臟病
醫生 那我們該怎麼辦
",我們應該怎麼接受治療,怎麼能怪你呢,還欠了一屁股債,多一分鐘手術的時間,從來都沒有癒合過,我們馬上去看醫生
"李芯 這樣好嗎
我也不知道 但是不管怎麼樣
",休息一下就好了,我知道了,我馬上去洗,你一定要幫我保守這個秘密,你們好厲害喔,你不要再否認了
"面目可憎 可能不只是因為沒有讀書吧 也有可能是因為睡眠不足
",以符合所謂社會的需求,也有可能是年紀到了啊,我們也做了一個初步的規畫,目前我們是建議,以後身心障礙特考,對於這個體格檢查
"小姐 妳不知道這裡不能貼嗎 貼成這麼亂 要開單喔
大哥 不好意思啦 我是新來的不知道規矩
",一斤的蘋果要多少錢,你知道台大電機營嗎,這個膠帶是我在文具行買的,這雙是你的拖鞋嘛,我抓到妳卻沒有開單的話 我會被長官罵,走 我們一起去打球
"下過雨後山中的溪水湍急 水流衝力較大
難不成這第一關就會讓狗狗追不下去了嗎
",感覺就是蓄勢待發這樣子,開始追捕佩佩的路程,沒問題吧 對不對,再往上爬 沒想到看似盡頭 佩佩竟然還能在狹縫中找到一條出路,瞧她一副賊樣,繼續馬不停蹄的逃亡 完全不敢浪費時間
"羽君 對不起 都是媽的錯 你聽媽解釋嘛
",情況嚴不嚴重啊,我試試看囉,把他推向深淵,你走開我不想跟你說話,我們寫給你的卡片收到了嗎,我真的好羨慕你喔
"所以這個編劇 寫故事的人是你嗎
當然是我自己啦
",長高潛能不是以實際年齡為準,我不知道要買哪件襯衫,我覺得陽春麵很好吃,投資有賺有賠,那老師有沒有幫你修改,請問你有需要銀行貸款嗎
"可見得由這個實驗我們發現看起來新鮮的蝦不見得真的比較新鮮
",而且福馬林聽說有一種很奇怪的味道,這個高雄港站在日據時代,來你幫我聞聞看,千晏待會兒看完書,所以其實我們購買海鮮的時候不能光看牠的外表,等他以後上高中甚至考到大學
"怎麼咳個不停的 你到底有沒有去看醫生啊
感冒啦 過兩天就好了
",你不要給你自己找藉口了,你還逞強 看你咳成這樣子 感冒可是不能拖的,我們應該可以更好相處吧,我已經十五歲了 每次都把我當成小孩子,多尊重我一些意見,這些話我放在心裡已經很久了
"那失智的余爺爺呢 他也能夠自己打理三餐嗎
因為沒時間煮飯啊 帶孩子怎麼有時間煮飯
",他都會自己去買吃的,對於這樣的情景,住在台中從事餐飲業的大姊,不是不知情,大姊甚至曾經表達她的不滿,獨自在公園呆坐好幾個小時
"所以施打過一氧化碳的鮭魚會變得鮮紅 而不會氧化成為黑褐色
所以像有些人煤氣燒炭自殺之後他的皮膚都變得比較粉紅色 是一樣的道理囉
",他是會變成泛紅的,我們過去拜訪一下,是 一氧化碳吸進去以後就跟我們的血液做結合 所以會變成非常鮮紅,只死掉了五隻而已,所以各類的書我都很喜歡,像這個就是取高雄的高
"我跟你爸賺錢很辛苦 你花起來倒蠻大方的 你一點都不心疼啊
",你怎麼沒有幫自己算一算啊,我以後賺錢還你嘛,有沒有對她好一點啊,在台灣有一千三百萬輛機車,我是從台灣來的,這樣子比較不會震得屁股疼
"那幫老師畫有沒有打折
老師 人人平等 不二價 不過我保證把老師畫得美美的 而且物超所值
",那當然了 老師相信你的能力,妍如好專業喔,我在畫畫打工賺錢,燈塔是你最喜歡的地方,為什麼讓你覺得很平靜很安全的秘密,以前爸爸是漁夫
"賢賢喜歡我們這裡嗎
很喜歡啊 我覺得雖然校園整個校地並沒有很大
",你剛剛說你不會做玩具沒關係,這是文山國小的同學,用這種吸管還有紙板做成的長程飛彈,不用花到一毛錢,一定是這種課程,可是每個人的感情好像都很好
"那如果我們想逛逛的話 有什麼可以推薦的
山形屋
",而且今天我們來的日子,那你們同學對王芃的印象怎麼樣呢,那有什麼特別的,兩位老師要不要進來坐一坐,家裡的生意正在忙需要你,對啊眼高手低耶你
"舒琪你可以教我們做這種餅乾嗎
",可是不知道為什麼,王芃她現在練習的是學校校慶的節目,因為每一科都可以讓我學到很多新事物,對啊 我超愛草莓口味的,把梁老師都給嚇跑了,如果不練的話也是不可能打得快
"加生 你知道瑉琁 做這個研究的用意在哪裡嗎
",轟動一時的人體奧妙巡迴展 終於來到台灣了,你看每位遊客都玩得不亦樂乎,知道啊,這也算是自然手語啊,澎湖是一個由六十四個大小島嶼組成的群島,怪難為情的對不對
"你就先和珮甄借好了
不要 我最討厭欠人情了
不然你想怎樣
",一時感觸良多而已啦,大不了老師保證絕對不說出去,可是我不能保證,那等你們找到保證書再過來,我保證 明天我一定交,保證讓全班大開眼界啦
"有沒有很開心
很開心 對啊
現在在收成啊
",好好過日子,你要不要講一下,當然是很開心囉,不然會嚇到人家,這麼明顯的放水,就炒一個米粉啦
"芷穎 我要向你收那個校外教學的費用
啊 我又忘了
",你爸最近太健忘了,我忘了拿內褲,又忘了 我看你是把錢拿去買漫畫書了吧,你忘了自己是老師,難道你忘了,就忘了跟你講
"您所撥的電話號碼是空號
",好像還蠻不錯的,他就是黃奶奶,可是渡邊他是日本人,是下一期大樂透的號碼,請查明後再播 謝謝,留下來的藏寶圖
"你的女兒 是一位優秀的聽障孩子 你對她有什麼期望呢
",人家不管啦,不信就算了 好心帶這麼甜的葡萄給你們吃 你們還不領情,我一直幫她規劃說 朝著能夠以聽障人的立場 去考量以後一些聽障的事物,請問你自己有嘗試過 這個實驗嗎,現在剛好客人比較少 所以閒著就看看報紙,今天調查了六十九位同學當中 有二十七位同學選擇相信
"我們去游泳
",我的借你啊,我們身材又不一樣,我有一件以前的 你應該可以穿吧,你有沒有看過殉情記啊,我又沒有帶泳衣,因為我也忘了放哪裡
"老師 您會不會像其他人一樣 看不起我媽媽
為什麼要看不起她呢
",能不能跟你拍張照,可不可以請你幫我們,我們管理部這邊就會有一套 制式的一個規格,您知道他們在做什麼呢,因為她犯過罪,坐計程車回去吧
"王小弟的那個聲音啊 真的好像小朋友的聲音 你是怎麼詮釋的
",就我們家的傳統 就是阿公死掉 有沒有 要傳承給孫子的,假如說當事人坐在上面不乖 不聽話 故意亂動的話 我們這個都監測得出來,是一個小男孩的感覺嘛 所以就像一個 跟奶奶在撒嬌的小男孩的感覺,為了在外頭多玩一會兒 每天都要跟象伕鬥智,牠雖然現在就是毛是順的 然後不刺這樣子 但牠在倒退的時候 那個刺有時候會倒鉤,你們要快樂一點 聽到沒有
"接下來我們要做裁剪的工作 先把對角畫起來 然後我們剪下來就可以了
老師在剪接修邊的時候 有沒有要特別注意什麼
",我們要先試飛啊 能飛我們再來畫啊,而且也不怕它撞壞啊,讓風箏呈現一個四十五度角的傾斜度,輝哥還要等什麼啊,特別注意就是說 我們要沿著直線要剪直,我們禮拜天要辦成果發表會
"你說是莽撞也好 或者說她是一個叛逆 是一個這樣 真性情
對 很真性情的人
不是 而且這樣聽你講 我就可以想像當年 你媽媽就帶著狗 在草原上奔騰的那種感覺
",當然是要說台語的啊,不然我神木我有講對啊,你要跑去哪裡,我知道這個神木的台語叫做神樹 不能夠直接翻譯這樣神木叫神木對不對,可是像媽媽 您母親這麼喜歡這些小動物們 是不是也影響到 你們整個家庭生活呢,記憶力消退了
"那你今天要教我們什麼 老師
像你們之前不是有問過我說嗎 像我們一般吃這種綠綠的棗子 是不是一樣的
人家說不能吃 你不要拿
",所以這個棗子越來越大顆,還是因為品種的改良,所以才越來越大顆的,這是品種的關係,現在的棗子越來越大越來越甜,你們專心一點好不好
"他們吃麵的時候會發出聲音
那你可不可以示範一下 他們吃麵怎麼樣吃法
",就這樣啊 這樣 好像很好吃的感覺,這樣不可以剪 不可以從這裡剪,拿去戶外晾乾要取得酵母菌,你在看報紙啊,打造一個安全無虞 舒適樂活之行車環境,我今天早上吃了三明治
"她每次都這樣 先給別人一點甜頭再叫別人替她做事情呢
",吃人家的東西就要幫忙打掃,要記什麼,還好吧她也有不得已的苦衷 幹嘛要把人家想這麼壞,老師要我們帶的東西啦 或是班上的雜事什麼拉哩拉雜的東西,她鼻子過敏暫時不能碰灰塵 所以請我幫忙打掃啊,你才買十二色的喔 二十四色不是比較方便嗎
"打了一氧化碳之後會讓魚看起來比較新鮮 那會不會跟吊白塊一樣危害人體
",而且只要百萬分之一的濃度,都是台南澎湖地區的人喔,既然日本人開發了這個港,它要從那個地方出去,漁民們用來浸泡魚貨的吊白塊,不會危害人體
"那涂先生你知不知道這附近
哪邊有人在做這個蠶絲被啊
",這一片桑葉園很大片耶,都是你一個人的喔,這裡應該就是桑園囉,我就有做啊,桑葉好漂亮哦,好難得看到那麼大片的桑葉耶
"怎麼都不給我吃 小氣鬼
我這個可以啃很久
",現在體驗一下,可是我想吃一口乖乖玉米棒,這是大家庭的優點,你有別的好方法嗎,那要把拖鞋收好,我們一起合作
"拿來 我看
不行 你真的很粗魯
沒錯 像她恰北北的女生 我是絕對不會投她一票的
",我們等一下可以去操場玩嘛,你們男生真的很無聊耶 玩什麼投票 幼稚,文章提到蟑螂什麼都吃 以及頑強的生命力和繁殖力,所以大學的宿舍生活真的很好玩嗎,這項技術正在走向成熟 未來航天發射成本有望大幅下降,我剛剛看到一架飛機
"老師我們不是要做風箏嗎 你現在舖竹蓆要睡午覺嗎
用竹蓆來做風箏沒錯啊
",圖案嘛對不對因為我們要畫圖案的關係,吸血鬼不要吸我的血,我們要先試飛啊 能飛我們再來畫啊,用這個竹蓆怎麼做,特別注意就是說 我們要沿著直線要剪直,讓風箏呈現一個四十五度角的傾斜度
"我 真的這麼配不上你嗎 
妮可 我不是這個意思
",這也是算命的一個好處啊,絕對不會成為是白老鼠,在導盲犬的帶領下 勇敢的踏出去,男生就是會比較壯喔,你不用解釋了 事實就是這個樣子,上下樓梯搬東西最麻煩了啦
"您認為聾人表演技巧的特色在哪裡呢
這個是隨堂考試嗎
我第一個想到是說 就是說第一個聲音的那個部分 因為你不太能夠用聲音
",農民密切注意氣象資訊 尤其是高海拔 沿海空曠等地區,描述她勇於告別過去的悲喜甚或輝煌 學會跳脫世界的紛擾與阻礙,如果我有下部作品的話 希望大家可以支持,照片發布至推特上後 立刻引起大批網友熱議,所以用聲音對他們來講會是一個缺陷,你的歌聲很嘹亮
