Question,Option0,Option1,Option2,Option3,Option4,Option5
"二○一一年三月十一日 日本發生了 芮氏規模九點零的地震
",然後你就把這個插銷拉出來,並且引發驚人的海嘯,那第二個拉是,大部分的滅火器,是會有一根軟管的,它只要比這個大就會有軟管
"你是鄭叔叔嗎
對啊
你好 我是小中 叔叔 我想要體驗水上人家的生活
",這個魚會沿著山壁走,第一點就是因為,可以帶我去體驗一下嗎,我們把網放在這邊,那個魚經過的時候,我就可以把牠抓起來了
"你們這些業務真現實 現在不過是一個凶宅 就要我求你們啊
聽說那間房子出過很多事情 熟門熟路都知道 大家有所顧忌
賀總 可以讓我試試看嗎
",這座橋不是由這塊或是那塊石頭支撐的,在國道其他路段也有最低速限規定,在國道其他路段也有最低速限規定,德黑蘭的交通已經不是恐怖可以形容,當我和阿伯下定決心環遊世界 心裡總有微微的恐慌,希望你不會讓我失望
"那你在編什麼
頭帶
",食用過多深海魚會有重金屬污染的疑慮,海帶有很多的碘,做這決定還真不是件容易的事,可能是因為太操勞 所以意外病倒了,這件事若屬實 茲事體大,就是要綁在頭上的那種嗎
"平常有沒有什麼秘訣保養喉嚨
",買菜這種簡單而平凡的活動 對高家人來說 卻是一種幸福時光,我給你建議就是 你要嘛就當教練 不然你就當歌手 你不要兩個同時,一點都不好笑,答案就要揭曉了,一般的盆栽 當然要澆得比較頻繁一點,為什麼豆油伯也笑得這麼開心啊
"奕瑄 你還好吧
老師 我真的沒有A大家的錢 你不要聽芷穎亂講 你要相信我
",原來這就是相信的感覺,你要相信自己的才能啊,好好好 你先不要這麼激動 老師相信你,我相信你們老師,雖然老師相信你沒有抽煙 可是你上頂樓就是不對阿,你這樣子很難讓我相信你有氣質
"不過老師現在沒有男朋友 所以我想請你幫我設計一條貝殼做的項鍊好不好
沒問題 我明天就可以拿給你
",老師這是我們向妍如買的貝殼飾品 是她自己設計的,我可以只算你七折,好漂亮 好精緻,就這麼說定了,我剛剛好像聽到高利貸 什麼高利貸啊,你真的是高利貸
"所以今天下午 我應該是沒有辦法變成黑帶了
",你要自己懂得保護自己 但是不可以隨便去主動攻擊人家,第一次踢板的時候 那個時候踢得非常的爛,是不可能,那你一開始踢不破的時候 有沒有覺得自己怎麼那麼笨,為什麼每個人都講是可以跟人家對打呢,那你有沒有出去比賽過
"如果你們這樣要出國表演的話 打包起來大概有多少行李啊
我們上次出國的話 我們大概有七件大行李
",這布幕全部都要變成黑的 然後背景也全部都要黑的 這樣才能夠專心,其實我的行李早就在房間了,為什麼會有行李,七件就可以出國去表演喔 那你們算是一個 很迅速可以移動的部隊耶,行李裡面有毒品,陳大哥會事先準備很多的行李箱 然後把水果放在其中一個行李箱裡面
"在孩子學習的階段 我們要怎麼去關心孩子 幫助孩子學習課業呢
",今天非常謝謝鍾法官和李劍南老師 給我們這麼多難得的一些經驗,父母會不會擔心 沒有辦法跟她溝通啊,這個就是沙燕風箏的縮小版,我覺得讓孩子自動自發的學習是很重要的,我的夢想就是我要念昆蟲系,我們現在站的地方 就是我們的本山五坑了
"這個實驗實在是太聰明了啦
不是你想的方法 你也能這麼開心喔
",你們誰先來啊,我當然開心啦,你千萬不要小看它,這你相信嗎,應該是假的囉,大概也沒辦法
"你擅長的年菜是哪一道呢
",全家人團聚在一塊兒,我最拿手的是這一道丁香豬手招福壽,學員們個個滿心歡喜,我兩個兒子都好愛吃,我們還會再繼續的加強,希望找到可以發揮自己的專長
"都是你啦 出什麼餿主意嘛
這怎麼能怪我 是你自己叫我幫你想辦法的
",就當大家投資你買書的錢 也不為過啊,對啦對啦 反正衰的又不是你,你說誰是唐氏姊妹,他的打卡的卡片不見了,在這邊打瞌睡啊,我婆婆又對我很好
"我是有聽說成浩蠻有這方面的才華的
",因為我喜歡去知道各種不同的知識,可是如果這樣的話,對啊 學校音樂課羅老師如果有需要幫忙的話都會找成浩,一下連看都不看對方,台灣就自行研發了一種愛蘭白酒,我來到了綠島唯一的一所國中
"應該是那個顏色很怪 所以才叫怪水對不對
還是說其實是那個水裡面 有什麼水怪
",我姓蕭 蕭先生,什麼怪水 以前一直說這是毒龍潭,先別急 這個情況是這樣子 我也不知道,如果可以把我們這個 下課花路米的隊徽加上去的話 我覺得這樣會更好一點,誰叫你是瘋狂百米小兵啊,如果我們把材料換一下呢
"爸爸媽媽離婚之後
",你什麼都要學,給她鼓勵說你好棒喔,我跟爸爸一起住,要跟我澄清,現在我們聽聽她的說法吧,你一個女孩子
"你越是不甩他 不理他
",別那麼雞婆啦,你知道我意思嗎,你交了別的女朋友,在講多對基因遺傳,休息一下,他越是有可能回來找你的啦
"這話怎麼說呢
",因為早在十八世紀的時候 扯鈴曾經被傳到歐洲去了 並且造成流行,想不想再看明偉 出神入化的扯鈴絕技啊,現在會玩扯鈴的人 好像已經不多了,你作業寫不完 一定很著急吧,你看這個業的字首和字型 就是作業,接下來我們不先急著教手語
"明天考英文你看國文做什麼
",何況加進尿液的海水,裝了些什麼祕密呢,媽在旁邊指導你可不可以,同學們準備好作答了沒有,去讀職校也都是你的事,我在溫習我等一下就看英文了
"因為我們都知道馮凱導演 其實在電視圈非常有名 拍了很多全台灣人都等著
",我太太非常支持我,其實有三種不同類型的演員,去判斷你的每一個鏡頭,每天等著看的電視劇,陣頭的孩子會打架,這一萬五看完了
"老闆說搶不到死人了啦
夭壽喔 吃太快會弄破碗啦 慢慢來就好了
",吃了有沒有合胃口,剛剛快被那輛車嚇死了,乾杯乾杯,快點喔 你們這團每次都最慢啦,你這裡的東西不錯耶,你會覺得我們很怪嗎
"江議員 您好 今天很高興在這裡跟您碰面
",這個問題我沒有想過耶,我也很高興來參加活動,教學影片做的淺顯易懂,主要是這件事情要能成 要有各方的配合,請大家一起來分享,民主不是一個終點 是一個持續的過程
"在超級市場或魚市場買蝦或是買魚 光看顏色不一定可以證明牠們的新鮮度
",還要用鼻子聞聞看 如果你有聞到藥水味或是臭臭的刺鼻味就要小心了,我等一下要和千晏一起去圖書館看書,其實這裡大家很多不曉得,所以牠們和我的感情都很好,來吸引更多的遊客,有好朋友可以分享彼此的心事
"不然我們來比賽啊
好啊 比什麼
我們來找土星的資料 看誰找到比較多 然後比較有趣啊
",有這個腳踏車很好玩耶,好啊 要比就比啊 這次一定讓你認輸,港和國小我上次有來過,我今天會照顧你哦,我們先來參觀我們學校的天文館,那像這個太陽系裡面這麼多星星
"媽媽的錯 要是有什麼事情 我幫你出面解決嘛
你還要管我嗎 你已經幫倒忙了
",芳儀也十五歲了 算是半個大人了,你不要這麼說嘛 媽媽又不是一個沒有腦袋的人,我不管 為什麼要我倒楣,她做事慢吞吞的 跟她一組會受影響啦,這一次我就幫您轉交 可是以後不要再破費囉,這飲料真好喝 網路上有名的
"而且現在整個大環境 經濟不景氣
",我知道是我該做的,我爸爸早上要就八點多起來,你要什麼口味,每個人都要想辦法賺錢餬口,然後就要來弄攤子,那變成你很晚睡覺
"Zoy一方面抱著貪玩的心情打蠟
另一方面希望多賺點錢
",半夜三更不睡覺,有什麼好洗的啊,要記得收看我和曉書主持的「聽聽看」,可以請陳喬恩吃糖果,用心聽聲音,這樣反而對身體不好喔
"現在全班就只剩下你一個人沒有交 你這樣 我很難做事耶
我又不是故意的 就真的忘了帶嘛
我不管啦 你要趕快想辦法
",全班所有同學都願意為你加油打氣,全班最高分呢,全班就會乖乖聽我的,可是 我現在身上真的沒有錢啊,我們不是故意的,你愛美害到我們全班
"老師 這是我自己做的餅乾 請你嚐嚐看
謝謝 這餅乾好精緻 看到外表就覺得很好吃 你一定花了很多心思
是媽媽厲害 我只是照她方法做而已
",跟你一起去讀職校好了,哈瑪星成為南台灣,好好吃 如果不跟老師說 老師一定覺得這是在外面買的,這裏是手工紙廠嗎,是啦全部都是我自己雞婆,梁老師這裡交給你囉
"葉大叔 想要請問你 在這行李箱裡面 你都裝了些什麼東西啊
",接著下一站到高雄 再待個幾天 輕鬆的到處逛一逛,他喜歡像我們台東這種地區 海岸線很寬敞 海闊天空,如果車子有問題 我就牽到路邊修理,她小時候就是一個 很開朗的小孩子啦,裡面有帳棚 書和隨時要看的地圖,晚上的時候在抓螢火蟲
"以前你們都吃什麼
",尤其這家魚攤 是每趟必來光顧的,他自己本性啦,吃番薯啊 吃飯啊 番薯和米一起煮啊,雨越來越大,好好喔真的好棒,電腦遊戲算什麼運動啊
"我以為兒子回來了 他還沒回來啊
還沒呢
去哪裡呀
",可是你們知道,我現在有多麼想要一支手機了吧,我怎麼曉得他去哪裡,晚上不准你吃飯,到房裡去反省,不吃晚飯也沒有問題
"你們洗澡的地方 上面怎麼會有個洞
",現在是上課時間,不一定在格子裡面上課,你不要取笑他,我真的覺得西寶國小好特別,因為晚上洗澡的時候 可以看到很多星星,全校都知道你們在講什麼
"你要不要上去拜拜一下
要上去拜拜喔
上去拜拜一下
",就說要做什麼事,拜拜最重要,人一定要靠自己,我說這不是錢的問題,我們比較堅持,好 那我先上去拜拜
"你們有沒有覺得老師故意偏袒珮綺啊
可是老師說的也有道理啊
事情又還沒有查清楚
",沒有經過她同意,事情我會查清楚的,他們會更討厭我,不是那麼容易的事,那個人也承認了,你們會不會很傷心
"你知道我們聽障朋友 有哪些方法可以表達自己的意見嗎
",在民國七十二年一月二十一日,改變了您的一生,我知道 有用手語啦 用寫的啦 還有看唇語啦 大概就是這些吧,但是我居然拿到第三名,居然叫我上台領獎,每一學期做我應該做的事情
"我想到一個好辦法 但是得要同學配合才行喔
我相信同學願意的
",你身體不舒服嗎,想什麼那麼入迷啊,應該多開導開導她喔,在他們面前我根本就說不出來,走 我們先和梁老師商量,我又不可能每天陪著你
"你早餐做些什麼菜
",做餛飩湯跟饅頭這樣子,我怎麼不知道,我也有獎狀喔,給他們老年人聽,他沒看見,哪有那麼簡單
"你有沒有想過 以後你兒子長大了 要讓他去學一些什麼才藝
",這音樂真美妙,有沒有 我想想看,我討厭這個演唱會,這真的是太神奇了,你怎麼不問問神奇海螺呢 原來是你兒子做的,再問問看好了
"美術館裡面有好多好大的東西 真好玩
",原來你是我們那年的領隊,我的身體狀況如何,您的私訊可能會掉訊, 剪下插枝在旁邊 約大叢時應該會變很美,颱風接踵而來 烏來地區被摧殘肆虐地道路支離破碎,只要一進去裡面 我就不想出來了
"梁碧珊今天缺席嗎 有沒有託同學請假呀
她昨天從訓導處回來以後 就跟她爸爸媽媽回家了啦
好吧那我們繼續上課
",好現在跟著老師呢 把這一課的課文念一遍,碧珊今天沒有來是不是有什麼事,真的哦 原來她性情大變 是因為家變啊,你爸爸他沒良心 他在外面有了女朋友,早就勸過她不要隨便找劉老師的麻煩 誰不知道劉老師最嚴格了,碧珊今天沒有來是不是有什麼事
"談戀愛的時候
只有幾個好朋友知道
可是一分手
",恢復正常的生活,感冒好了嗎,應該要有神清氣爽,全世界的人都知道了,可是國強他就是說我太認真,終結流言吧
"你覺得我那樣做 真的能感動詠真嗎
",老師真的很感動,我實在是太感動了,因為我用功感動天,當然會啊 如果你對我這麼好的話 我也會感動得痛哭流涕的,豆油伯要是看到這一鍋一定會很感動的,怎麼樣 很感動吧
"可不可以先向觀眾朋友們問聲好
",請問您這個外號是怎麼來的啊,反正就看在你自己,我都不知道,主持人好 各位觀眾大家好,談到這個原因,另外一個原因
"如果要送朋友的話 哪一種最能表達自己的誠意
",這首歌我會唱 我唱給你們聽好不好,你是不是把我當作祕書啊,你要送給誰啊,不要來這一套 我是看你可憐,只有別人幫她 很少她會幫別人,事情過了就算了嘛 晚上我們還要去吃火鍋
"不過人的電阻太大
如果電壓夠大的話
",電流就可以通過人體了,因為太過鮮豔會被蜂群叮上,這個是我的秘密,踏實的一步一步往前走,你不要取笑人家了啦,確實有人可以這樣子
"老師 你其實不用那麼辛苦嘛 你寫的課本上都有啊
",我認為你們大家動手抄一遍 會記得更清楚,我知道課本上有 可是不能因為課本上有 我就不教呀,我希望同學對歷史課態度 能有所改變,學歷史只是為了應付考試,你趕快把黑板上 老師寫的抄下來,所以希望大家抄起來
"陳康的苗條身材變胖之後 不知道是什麼樣的情形
你有沒有特別把以前的照片 帶來跟觀眾朋友們分享
",這都可以放下三個我了耶,有啊 我帶了照片給大家傳閱一下好不好,實在很辛苦,我們一定要節制控制飲食 挨餓才會瘦一點啊,我們要如何控制飲食才不會變胖,這就是大家要特別注意的地方
"你可以跟你朋友講說 如果賣不出去的話 也可以出租
",這是今天的節目表,這個東西太貴了,搜尋這個網址就可以找到相關訊息,租人太麻煩了 我這個朋友他就是怕麻煩,這些垃圾是要拿去回收的,朋友就是要互相幫忙
"你決定要選誰了沒有 快點做決定
是喔 很多人投了嗎 那現在誰最多票
 拜託 想也知道 一定是溫柔又漂亮的祐禎
",把希望擺在未來 展現自我,年輕的執著就是夢想,總統今天到台南勘查,真巧 我也是投她,日本女高中生似乎覺得這樣子很可愛,台灣少子化現象逐年加劇
"還有誰還沒有投票的
投什麼票
不關女生的事
",願意主動把辛苦積蓄的資金 極大多數拿出來做社會急需的公益,植樹不是為了自己 而是為了後代子孫,什麼不干女生的事 拿來 我看,性別平等教育季刊 藉由閱讀的推廣與宣導 型塑多元文化中性別平等圖像,家中如果同時養貓和養魚該怎麼讓牠們和平共處 相安無事呢,更加誠實地面對內心的渴望 才能全心享受當下
"因為我們兩個從小就認識到現在 然後我們一起在水溝尿過無數次的尿
",每一次尿尿的時候魚群都會靠過來,強健國民的體魄而蓋的道館,然後呢再經過手工抄紙,我們大口吃下肚的海鮮,填海造地除了讓高雄港,一定也會有一個人覺得不開心
"就你可以看啊 這些都是啊 所以你也很漂亮是不是
",我媽媽心很漂亮 就很好的家庭主婦吧,爸爸就是很活潑,沒有 我可沒這麼說,他就會揹我們上下樓梯,那媽媽漂亮嗎,所以還蠻感恩的
"看不出來我在練功喔
",搞不好真的有這種泉水,我從小就在這裡長大的,你還說到嘴角全部都是口水,我們下課花路米探索的精神,練功練什麼功啊,你怎麼這樣子啊 小氣
"為什麼不走岸邊
",這一些林林總總加起來大概花了五千元左右,希望大家在今天的土雞選美比賽都能奪得好成績,所以我們就遠遠的觀察牠們就好了 也不要去打擾牠們,我們是希望遊客可以自動自發不要去抓裡面的螃蟹,保守估計可能超過兩百隻,岸邊的那個距離更長 抄近路就對了
"一樣耶 有默契喔
誰跟你有默契 我跟舒琪借的
太巧了 我是跟千晏借的
",這種知性之旅的酒文化,我們大口吃下肚的海鮮,就是加進不用半毛成本的尿液,它要從那個地方出去,看起來好像不是太開心耶,這樣算起來我們還是很有默契
"老師 這是我阿嬤做的飛魚乾要給老師吃的
飛魚 綠島也有飛魚 我還以為蘭嶼才有耶
",是這個地區很具代表性的西子灣,流汗流光了沒有,而且福馬林聽說有一種很奇怪的味道,真的能夠維持魚貨的鮮豔顏色嗎,更特殊的是我們的票櫃,綠島也有飛魚 而且成浩他阿嬤做的飛魚乾非常好吃耶
"老闆 我們來這裡遊玩的
想問一下路 那個舞鶴怎麼走
",你現在出去看到紅綠燈 往南走差不多十分鐘就到了,你在做什麼,這個是我的秘密,這個時候又要和大家說再見了,留下來的藏寶圖,這個一個五塊
"後來再隔比較麻煩 就是說它跟原來的 負重的結構會不一樣 所以地震的時候
",基本上不要超過二十五公分,太高的火災你不容易滅,它比較容易垮,像這麼小的滅火器,火災感應器,那個罩子還罩在上面
"曉書 玫瑰花送給你 是不是很漂亮呢
",很高興認識你 我是從白俄羅斯來的,他今年只有十四歲 可以掌握得很好,好漂亮喔,我要獻給奶奶一首歌 叫做 雨夜花,看到許多台灣女性 都有很強的韌性還有生命力,除了跳舞 彈琴之外 韋齊最愛的就是畫畫了
"我今天找你來 是想請你幫忙的 事成之後 自有重賞
",那個人是誰啊,他不是你的會計嗎,有什麼了不起嘛,有種過來啊,只要我能幫忙 必效犬馬之勞,你囉唆了半天
"老師 你今天沒有跟蕙馨一起走
她有事要集合
",真倒楣 差一點點就趕上了,也許你會有新的發現 新的感覺喔,那老師陪你走到車站囉,人生的經歷就是這樣子累積來的,你們不用假惺惺了,一定來不及準備
"姵蓁 你的錶壞了啊
可是這好像不是你的錶
",留住本國優質人才,沒啦 是佳宏的,絕對不能猶豫蹉跎,你有去過瑞士嗎,這個結果得來不易,我家買了一個新時鐘
"但是我的兒子喜歡的 有一個人說不定跟你一樣 是誰住在深海的大鳳梨裡
",還有薩克斯風手黑麥,聊聊對工作的想法,海綿寶寶,我想要突破自己,躺一下就睡著了,所以她們自己溝通就可以了
"你今天怎麼沒去上課
",人都過世那麼久了,大表姊要結婚了嘛,這張好像是政府寄來的,下午才有課啊,你是我帶大的耶 從小就看到不想看了,阿嬤放心啦 我會帶你一起去啊
"學姐 學姐 那我什麼時候 可以開始賣房子啊
",資訊是來自有點像是競爭對手的其他公司,盡量不要房貸之外再多借信貸,我是自己做蘋果內餡,沒有平家一族 其他人就沒法生存,不行啦 妳還太嫩 什麼事情都不會,馬可波羅描述一座橋 一塊一塊石頭地仔細訴說
"那你現在差不多一個禮拜要花多久時間騎馬
",對人其實很好是不是,我已經做了一個重大的決定,五天吧,我的記憶力一直不算很好,只要員工有什麼樣的意見 我們就會採納或是進用,那麼舊厝翻翻咧變新厝
"我們還要走多遠
",跑步可以鍛鍊身體,運動會先來預演一次,總共有十一位,只有五百塊,大概差不多再走三百公尺,差不多九斤以上
"不會啦 這種碳酸它是鹼性的啦
",奇怪你怎麼都知道,澳就是代表海岸彎曲的地方,這個酸鹼值我就有學過 如果說這個pH值大於七的 它就是鹼性的,如果把這兩樣加在一起 你覺得它會變成什麼樣子,蘇澳這個地區 終年的雨量非常的豐沛,你知道那彈珠汽水 最早的時候是用什麼水做的
"他身上香水好香
你也有聞到啊 那是什麼牌子的香水啊
",我先自我介紹,不知道,這是我的名字,其他部份以後大家會慢慢瞭解,我們今天就從三角函數開始,對不起啊各位
"陳韋辰 你又不吃飯啦
我在減肥
光靠餓肚子是不能減肥的
",誰說的 我已經瘦了兩公斤了,同學 不好意思 漲價了 請你再補三十,而能力的好壞 也關係到是否能在職場上站穩,好像要上戰場了,不知道味道怎麼樣,為了讓大家好好的看清楚員貝的面貌 船長特別帶我們繞行員貝一周
"偉傑人真好 班上男生應該多跟他學學才對
",你必須要先對自己誠實 你才有辦法完整的跟對方表達,這樣的行為 已經侵犯了他人的隱私權 是要負法律責任的,每個作家都應該要有一台筆電 才能隨時隨地的 記錄下自己的靈感,聽說有同學想要人肉搜索那個社群網站帳號的主人,居然用這種方式贏得比賽 實在勝之不武,對 偉傑做人有禮貌 服裝儀容整齊又乾淨
"我比較想知道的是 不管是單親爸爸或是單親媽媽
",有沒有什麼改變,對孩子的教育方式,我比較想知道的是,那她怎麼說還是你們的媽媽,會更嚴格的要求,有沒有什麼改變
"他很會藏喔 隨便那個書櫃啊 那個抽屜啊 到處都是 都是酒瓶
今天有嗎
今天我們來查 找找看
",沒有啦 今天已經克制得很好了啦,他覺得讓女人去扛 是很沒面子的事情,我有時候在車上很難過就大哭 或者大叫,這天是星期四 阿芬不上課,製作小組很擔心,我傳道已經三十四年了
"你們覺得上陶藝課最快樂 是什麼事
",可以自己創造,他們都會很興奮,我想要一個觀星台,那每天這樣子浪費時間,下次我要早點來,害我都好想轉學喔
"小莉 知不知道妍如跑哪兒去了
不知道 今天還沒看到她
",收你五百,總共是一百五十三元,她爸爸好像搬回去台灣 一年只回來看她一兩次,我覺得她蠻有這方面的天分的,我可以只算你七折,真是的 明明知道假日客人比較多 還不在家裡幫忙
"你看他這麼高 這麼壯 我怎麼可能贏他
",這個最重要的技巧其實是運用智慧,我是因為這個訓練的時間不足嘛 來不及準備,不然這樣好了啦 你跟小中示範一場給我做參考,好 那你來當裁判,這樣有沒有瞭解,什麼我壯 你也不弱好不好
"叔叔 那我們要怎麼過去
搭這一艘 出發了
哇塞 好棒喔 第一次在日月潭上面
",以前的老蔣總統很愛吃這個,算小的,牠為什麼叫總統魚,坐著這種小船在湖上面走,你說以前那個蔣總統,他很喜歡吃這個魚
"你明天要考試 功課寫完了嗎
",原來你是在擔心這個啊,這是她的部落格 文筆不錯 而且還會塗鴉,明天只是小考而已 沒關係啦,日子久了慢慢習慣了,我的情緒有點失控了,我才不要交男朋友呢
"人家下班了啦
要是不趕快存起來 到時候一定會露出馬腳的
",現在在花蓮的玉里還有一間這樣的郵局,但是它當郵局這樣就有點怪,可以啊 我就在那裡工作,不用了 我自己去就好,這是行動咖啡喔,豆油伯 你也不要那麼緊張 今天來不及明天再拿去寄不就得了嗎
"老師 他不是壞人啦
老師並沒有說他是壞人啊 只是希望你們在公共場所 能夠提高警覺
",我在她們心目中 還不如一個陌生人,她們不是那個意思,好耶 譚老師跟織田裕二比比看誰比較強,我們今天跟他約好了耶 他還要替我們複習功課,他不是那個日本明星嗎,老師 帥哦
"這點想請教鄭組長 規畫無障礙環境 要考慮哪些問題 有沒有針對聽障設計的呢
當然我們現在技術規則
",剛才有沒有看到,大部分都是以視障跟肢障的為主,她說謝謝耶,每一個父母親,總是希望兒女能夠身體健康,她用雙腳向大家問好啊
"以後數學課我就跟你換位置
為什麼要換位置
",請務必把它抄下來,所以最後等於是,沒有為什麼我就是要跟你換位置,25分之17,在大學聯考當中,是特別重要的
"賈晨 舒琪她們兩個怎麼了 一個星期都不跟對方說話
誰知道 一下像黏巴達 一下連看都不看對方
你們女生好奇怪
",觀察得相當的入微,對人體還是不會有害的,我希望能學習更多相關英文,經驗一下收蝦可以沒問題,你才奇怪,看看哪一鍋的蝦子最先死翹翹
"都是你啦 出什麼餿主意嘛
",那妳得跟妳先生一起回去才對,這怎麼能怪我 是你自己叫我幫你想辦法的,我是來這邊找一個人,我想我的新生活 應該就要開始了吧,算得真準,她要不是為了減肥 也不會這樣啊
"不要管我了 我自己在這邊練習
那怎麼行
",還不好好利用一下,我這不是好好的嗎,有什麼事情 吃完飯再說,就好想來看看你們,媽媽認為應該有些幫助,不要擔心 教練就在這邊
"奕瑄她爸爸之前是我們那一里的里長 但因為盜用公款被判坐牢
既然奕瑄她爸爸會A錢 那我們把校外教學的費用交給她 是不是也很危險啊
",你覺得危險就不要參加,那就麻煩你這位求職包打聽 好好的幫大家服務囉,你們這樣橫衝直撞真的很危險耶,校外教學活動舉辦的意義是什麼,勤儉本來就是美德,芷穎 你不要亂講話 奕瑄她才不會那樣
"你知道有沒有熟嗎
",本來後面不是很亂嗎 上面擺的嗎,不好意思 他臉紅了,好像我所有的理都沒有了 都是她對了,可是明明是你錯了 你硬拗說是我錯,我知道 看外面就知道了,真的 眼睛還紅的啊
"您平常有參與聽障團體 常會用的手語是什麼
",這軟體真的不錯,科系的價值不該用賺不賺錢來衡量,我們平常一般遇到聾人的話 就先跟他問好,這篇寫得有憑有據 擲地有聲,人應往自己夢想的道路前進,我居然忘了她是協理啊
"那時候我要照顧孩子
",不能去工作,但他也不聽,有別的女人,這些我都忍下來了,但後來知道他有外遇,還有小孩要養
"那這個戲裡面 當然有很多東西是可以值得 一一抽出來談的 比方說像它的對白
",去判斷你的每一個鏡頭,是經過算計的嗎,它的對白很多很經典,我們不去做判斷,那我就跟你聊,其實在電視圈非常有名
"濂僑 你有沒有想過 你以後退休之後要做什麼啊
",一起來家裡打打小麻將啦,因為今天在手語劇場裡,幹嘛這麼早就退休啊,我看他的年紀跟你差不多,害我嚇一跳,退休之後啊 當然是有空就約朋友
"老師喜歡的類型像姵蓁一樣 常常笑臉迎人
果然老師欣賞的類型也是異於常人
",老師 不行啦 你選的可是我們班上的恰查某,天下父母心 每個爸媽都希望家中的寶貝可以 高人一等,警方呼籲 年關將至 民眾除了應發揮守望相助的精神,最棒的視覺感官體驗不能錯過,這些基本營養素 大部分可透過飲食的均衡攝取獲得,趕快把垃圾拿去丟掉吧
"小微呀 你在摸什麼啊 都幾點啦
",好啦 馬上就好了,你真的相信 世界上只有十二種人嗎,神算公主代誌大條囉,紀老師幫你說了好多好話 都沒用耶,我想讓她自己想辦法解決問題 她才會了解到事情的嚴重性,紀老師是最善良最有同情心的巨蟹座啊
"房仲業有很多事要學 那一本重要的寶典書買了沒有
",你看 我幫你帶了這麼甜的葡萄,今年的房價一直跌不下來, 有 我第一天就買了 學長姐規定的,教育政策的制定是很重要的,你今天搭幾點的火車,我覺得那部電影超好看的
"阿公 幫幫我把這個剪掉
剪掉做什麼
",不要傻了啦,你咬不動,拿來炫耀一下,我要燒啊,你年紀大了,希望有個新氣象
"奇怪 真奇怪
什麼事情很奇怪
",我也有陪我媽媽看過喔,很感人 這個故事很棒,快點 換你,換我出牌了,我在看那個VCD,豆油伯那柑仔店 有七八個日本人來跟他買東西 還這樣很有禮貌
"裡面的水生植物是我們照顧的
那你們照顧得很好耶 等一下 這個可愛的陶瓷作品
",不過你好像這個是不太一樣,可以一邊喝著下午茶,我們一起去玩吧,還真被你講對了,也是你們自己DIY做的嗎,你不要亂講
"姊姊珮綺 常對妹妹珮華的金錢觀不以為然
她常常被我罵
",可是因為我們拆掉是有原因的,是因為他不可理喻,因為他說那個插頭,卻造成賭氣的爺爺遲遲未歸,道江才不得不禁止爺爺使用電風扇,我覺得說她花錢沒有理智
"因為我有一個更神奇的玩具 比你的玩具更酷
",而且我們不會照抄的啦 只是寫完之後參考一下而已,可是我怕我的英文劇本 會趕不完 怎麼辦,我跟曉書好好溝通溝通,我的作業借給你觀摩,真的嗎 是什麼新鮮的玩具 給我看看嘛,作業不都是你自己寫完的嗎
"好可愛喔 這是什麼
這是瓢蟲
",姊姊 你不怕蟲蟲喔,女兒終究會長大,我好緊張喔,因為這個要煮很久,你們可以吃飯啊,你不用怕
"只要你跟我一起用功 我們一定會考上同一所高中的
可是我怕我考不好
",我們要把蝦子放進去,不過其中最喜歡的是健康教育,舒琪說她想要讀餐飲科,而且今天我們來的日子,花路米觀眾平安喜樂,有我在你怕什麼 我打電話來就是要跟你說明天考試的重點
"我警告你喔 不要讓我再接到學校打來電話喔
",光曉得把力氣花在這些不真實的東西上,你怎麼沒有幫自己算一算啊,還有紫微斗數啊,你是說只要我在外型上做改變 就可以化解了嗎,好啦,考運再好 不念書也不能考一百分啊
